Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Asvel vs Olympiacos,Olympiacos,A. Vezenkov,26:34,23,7/13,1/3,6/7,7,0,2,0,22
Asvel vs Olympiacos,Olympiacos,E. Fournier,22:10,3,0/3,1/3,0/0,3,6,0,1,5
Asvel vs Olympiacos,Olympiacos,M. Morris,21:47,2,1/2,0/0,0/0,1,2,0,1,3
Asvel vs Olympiacos,Olympiacos,D. Hall,21:15,14,4/4,0/0,6/6,6,2,0,2,19
Asvel vs Olympiacos,Olympiacos,N. Milutinov,18:40,10,2/6,0/0,6/8,9,3,0,1,15
Asvel vs Olympiacos,Olympiacos,T. Walkup,18:13,0,0/1,0/1,0/0,3,7,1,2,5
Asvel vs Olympiacos,Olympiacos,K. Papanikolaou,17:00,0,0/0,0/2,0/0,2,1,0,2,-2
Asvel vs Olympiacos,Olympiacos,T. Dorsey,15:31,13,0/0,4/8,1/2,1,1,0,2,7
Asvel vs Olympiacos,Olympiacos,T. Ward,13:44,6,3/4,0/0,0/1,3,2,0,2,3
Asvel vs Olympiacos,Olympiacos,A. Peters,13:26,5,2/2,0/3,1/2,3,0,0,1,2
Asvel vs Olympiacos,Olympiacos,S. McKissic,11:40,6,1/1,0/2,4/5,4,0,0,0,6
Asvel vs Olympiacos,Olympiacos,M. Fall,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Asvel vs Olympiacos,Asvel,B. Angola,23:43,14,2/3,1/4,7/7,2,2,3,3,11
Asvel vs Olympiacos,Asvel,M. Ajinca,22:35,17,1/1,5/10,0/0,3,0,0,1,14
Asvel vs Olympiacos,Asvel,M. Ndiaye,22:29,8,4/6,0/4,0/0,3,3,3,0,12
Asvel vs Olympiacos,Asvel,T. Heurtel,21:18,8,1/3,2/4,0/0,0,9,0,1,11
Asvel vs Olympiacos,Asvel,S. Harrison,21:17,9,3/6,1/2,0/0,1,2,1,1,7
Asvel vs Olympiacos,Asvel,Z. Seljaas,16:51,3,0/0,1/4,0/0,4,1,0,0,0
Asvel vs Olympiacos,Asvel,B. Massa,14:02,6,3/7,0/0,0/0,2,1,1,0,4
Asvel vs Olympiacos,Asvel,A. Traore,13:35,0,0/2,0/1,0/0,6,1,0,1,-1
Asvel vs Olympiacos,Asvel,A. Atamna,13:14,1,0/0,0/2,1/2,2,1,0,2,-3
Asvel vs Olympiacos,Asvel,P. Eboua,11:18,3,0/3,1/3,0/0,4,1,0,0,-2
Asvel vs Olympiacos,Asvel,D. Lighty,11:13,5,1/1,1/3,0/0,1,0,1,0,2
Asvel vs Olympiacos,Asvel,B. Vautier,8:25,0,0/1,0/0,0/0,0,1,1,0,1
