Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Barcelona vs Olympiacos,Olympiacos,T. Dorsey,31:47,19,3/7,3/5,4/4,3,2,0,4,12
Barcelona vs Olympiacos,Olympiacos,A. Vezenkov,30:02,22,6/8,1/4,7/7,5,0,1,0,20
Barcelona vs Olympiacos,Olympiacos,E. Fournier,28:59,11,2/4,2/4,1/2,1,5,0,2,7
Barcelona vs Olympiacos,Olympiacos,T. Walkup,26:08,2,1/3,0/2,0/0,3,10,0,0,10
Barcelona vs Olympiacos,Olympiacos,D. Hall,21:45,11,5/6,0/1,1/1,8,0,1,1,18
Barcelona vs Olympiacos,Olympiacos,N. Milutinov,18:15,10,4/5,0/1,2/2,2,1,0,1,10
Barcelona vs Olympiacos,Olympiacos,A. Peters,17:56,6,1/1,0/1,4/4,3,1,0,0,7
Barcelona vs Olympiacos,Olympiacos,F. Ntilikina,14:52,4,0/1,1/3,1/2,0,2,0,1,-3
Barcelona vs Olympiacos,Olympiacos,S. Lee,5:43,0,0/1,0/0,0/0,0,0,1,0,-1
Barcelona vs Olympiacos,Olympiacos,K. Papanikolaou,4:30,0,0/0,0/0,0/0,0,0,0,2,-3
Barcelona vs Olympiacos,Olympiacos,G. Larentzakis,0:03,0,0/0,0/0,0/0,0,0,0,0,0
Barcelona vs Olympiacos,Olympiacos,K. Antetokounmpo,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Barcelona vs Olympiacos,Barcelona,T. Satoransky,31:22,7,1/2,1/4,2/3,6,4,1,1,10
Barcelona vs Olympiacos,Barcelona,W. Clyburn,31:02,28,3/5,7/10,1/1,3,2,3,1,31
Barcelona vs Olympiacos,Barcelona,T. Shengelia,29:16,14,4/8,1/2,3/4,6,3,1,2,13
Barcelona vs Olympiacos,Barcelona,J. Vesely,27:40,12,5/9,0/1,2/2,3,4,0,0,13
Barcelona vs Olympiacos,Barcelona,K. Punter,24:50,24,5/8,3/4,5/6,5,3,3,1,25
Barcelona vs Olympiacos,Barcelona,D. Brizuela,15:37,5,1/3,1/3,0/0,0,1,0,1,-2
Barcelona vs Olympiacos,Barcelona,W. Hernangómez,11:51,3,1/5,0/0,1/2,6,0,0,0,2
Barcelona vs Olympiacos,Barcelona,J. Parra,10:41,3,1/4,0/0,1/1,2,0,0,1,0
Barcelona vs Olympiacos,Barcelona,M. Cale,9:41,2,0/0,0/1,2/2,4,0,1,0,2
Barcelona vs Olympiacos,Barcelona,J. Marcos,7:43,0,0/0,0/1,0/0,0,0,0,0,-2
Barcelona vs Olympiacos,Barcelona,M. Norris,0:17,0,0/0,0/0,0/0,0,0,0,0,-1
Barcelona vs Olympiacos,Barcelona,Y. Fall,0:00,0,0/0,0/0,0/0,0,0,0,0,0
