Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Baskonia vs Olympiacos,Olympiacos,T. Dorsey,32:13,21,3/6,2/8,9/10,4,3,2,2,17
Baskonia vs Olympiacos,Olympiacos,A. Vezenkov,28:33,24,6/12,2/8,6/6,13,1,0,2,23
Baskonia vs Olympiacos,Olympiacos,T. Walkup,27:34,5,1/3,1/3,0/0,4,8,3,0,12
Baskonia vs Olympiacos,Olympiacos,E. Fournier,25:09,10,3/4,0/5,4/4,1,2,1,1,4
Baskonia vs Olympiacos,Olympiacos,N. Milutinov,24:42,12,4/7,0/0,4/4,14,0,1,0,23
Baskonia vs Olympiacos,Olympiacos,D. Hall,15:18,8,3/6,0/0,2/2,2,0,1,0,5
Baskonia vs Olympiacos,Olympiacos,S. Lee,15:06,4,2/3,0/0,0/0,0,2,1,0,6
Baskonia vs Olympiacos,Olympiacos,T. Ward,14:51,11,1/1,1/1,6/6,1,1,0,1,11
Baskonia vs Olympiacos,Olympiacos,A. Peters,11:27,7,2/4,1/1,0/0,0,0,1,1,4
Baskonia vs Olympiacos,Olympiacos,K. Papanikolaou,5:07,0,0/0,0/0,0/0,1,2,0,2,0
Baskonia vs Olympiacos,Olympiacos,G. Larentzakis,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Baskonia vs Olympiacos,Olympiacos,K. Antetokounmpo,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Baskonia vs Olympiacos,Baskonia,T. Forrest,30:16,14,4/7,0/3,6/6,2,10,2,1,19
Baskonia vs Olympiacos,Baskonia,T. Sedekerskis,24:50,8,1/1,2/6,0/0,5,2,0,1,9
Baskonia vs Olympiacos,Baskonia,T. Luwawu-Cabarrot,24:47,23,3/5,5/8,2/2,6,2,1,1,22
Baskonia vs Olympiacos,Baskonia,M. Howard,22:20,12,0/1,4/11,0/0,0,2,0,2,0
Baskonia vs Olympiacos,Baskonia,K. Diop,21:19,3,1/2,0/0,1/2,7,3,1,0,11
Baskonia vs Olympiacos,Baskonia,H. Diallo,20:29,15,6/8,0/2,3/4,5,1,1,1,14
Baskonia vs Olympiacos,Baskonia,L. Šamanić,18:27,7,2/4,1/3,0/0,2,0,0,3,0
Baskonia vs Olympiacos,Baskonia,C. Frisch,14:06,8,1/1,2/4,0/0,2,0,0,0,8
Baskonia vs Olympiacos,Baskonia,M. Nowell,13:50,6,1/1,1/4,1/2,1,2,1,4,-1
Baskonia vs Olympiacos,Baskonia,M. Spagnolo,9:32,0,0/1,0/0,0/0,0,2,1,0,1
Baskonia vs Olympiacos,Baskonia,R. Villar,0:03,0,0/0,0/0,0/0,0,0,0,0,0
Baskonia vs Olympiacos,Baskonia,S. Joksimovic,0:01,0,0/0,0/0,0/0,0,0,0,0,0
