Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Bayern vs Olympiacos,Olympiacos,T. Walkup,26:44,7,2/3,1/2,0/0,3,8,1,3,12
Bayern vs Olympiacos,Olympiacos,A. Vezenkov,25:12,18,4/7,3/5,1/1,5,1,1,0,20
Bayern vs Olympiacos,Olympiacos,T. Dorsey,24:57,19,5/7,3/7,0/0,1,2,2,1,14
Bayern vs Olympiacos,Olympiacos,T. Ward,23:44,9,2/3,1/3,2/4,4,1,1,1,7
Bayern vs Olympiacos,Olympiacos,D. Hall,20:22,11,4/4,0/0,3/4,8,2,1,0,22
Bayern vs Olympiacos,Olympiacos,N. Milutinov,19:38,6,3/3,0/0,0/0,3,1,1,0,12
Bayern vs Olympiacos,Olympiacos,E. Fournier,17:27,9,1/2,2/6,1/2,2,4,1,2,6
Bayern vs Olympiacos,Olympiacos,S. McKissic,16:20,5,1/1,1/2,0/0,3,3,3,1,11
Bayern vs Olympiacos,Olympiacos,A. Peters,14:48,8,2/4,1/2,1/2,1,1,0,1,4
Bayern vs Olympiacos,Olympiacos,F. Ntilikina,10:48,4,0/1,1/1,1/2,0,2,1,1,-1
Bayern vs Olympiacos,Olympiacos,K. Antetokounmpo,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Bayern vs Olympiacos,Olympiacos,S. Lee,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Bayern vs Olympiacos,Bayern,V. Lucic,28:25,7,1/2,1/3,2/2,6,2,0,2,9
Bayern vs Olympiacos,Bayern,A. Obst,27:21,15,3/4,3/6,0/0,1,1,0,1,11
Bayern vs Olympiacos,Bayern,N. Giffey,21:31,8,0/0,2/6,2/2,0,0,1,0,4
Bayern vs Olympiacos,Bayern,O. Silva,19:35,12,6/8,0/2,0/0,7,1,1,2,15
Bayern vs Olympiacos,Bayern,W. Gabriel,19:25,5,2/5,0/0,1/2,6,2,1,3,2
Bayern vs Olympiacos,Bayern,I. Mike,18:12,10,2/5,2/2,0/0,3,1,3,4,6
Bayern vs Olympiacos,Bayern,S. Jović,16:47,5,1/1,1/4,0/0,2,4,0,1,6
Bayern vs Olympiacos,Bayern,X. Rathan-Mayes,15:18,6,0/3,1/5,3/5,2,3,1,1,0
Bayern vs Olympiacos,Bayern,L. Kratzer,12:52,0,0/0,0/0,0/0,1,1,0,2,-3
Bayern vs Olympiacos,Bayern,J. Jessup,7:46,3,0/0,1/3,0/0,3,0,0,0,4
Bayern vs Olympiacos,Bayern,J. Hollatz,7:21,0,0/0,0/2,0/0,1,1,0,1,-1
Bayern vs Olympiacos,Bayern,K. Baldwin,5:27,0,0/1,0/1,0/0,0,1,0,0,-1
