Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Dubai vs Olympiacos,Olympiacos,T. Dorsey,36:14,18,5/10,1/8,5/6,2,4,2,3,8
Dubai vs Olympiacos,Olympiacos,A. Vezenkov,31:06,12,4/10,0/1,4/4,5,2,0,1,10
Dubai vs Olympiacos,Olympiacos,T. Walkup,27:42,6,0/3,2/4,0/0,5,7,1,3,8
Dubai vs Olympiacos,Olympiacos,N. Milutinov,25:20,13,4/5,0/0,5/6,6,1,1,1,16
Dubai vs Olympiacos,Olympiacos,T. Ward,23:24,5,2/4,0/1,1/1,2,1,0,0,3
Dubai vs Olympiacos,Olympiacos,E. Fournier,22:45,16,3/7,3/9,1/1,2,5,1,1,11
Dubai vs Olympiacos,Olympiacos,T. Jones,19:37,12,3/6,0/0,6/7,4,3,1,0,11
Dubai vs Olympiacos,Olympiacos,A. Peters,13:32,8,1/1,1/1,3/5,3,0,1,0,9
Dubai vs Olympiacos,Olympiacos,S. McKissic,8:02,5,0/1,1/1,2/2,0,1,0,0,4
Dubai vs Olympiacos,Olympiacos,D. Hall,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Dubai vs Olympiacos,Olympiacos,G. Larentzakis,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Dubai vs Olympiacos,Dubai,D. Bacon,37:38,21,7/13,0/3,7/7,7,2,1,3,16
Dubai vs Olympiacos,Dubai,M. IV,33:11,18,4/8,2/2,4/4,3,7,0,2,19
Dubai vs Olympiacos,Dubai,M. Kabengele,32:48,21,7/14,1/3,4/4,14,2,1,0,28
Dubai vs Olympiacos,Dubai,D. Musa,32:28,10,1/3,2/4,2/3,3,3,1,1,10
Dubai vs Olympiacos,Dubai,A. Avramović,25:04,17,2/3,3/7,4/4,3,4,4,3,15
Dubai vs Olympiacos,Dubai,F. Petrušev,21:37,10,4/4,0/1,2/3,4,1,1,1,9
Dubai vs Olympiacos,Dubai,J. Anderson,14:19,3,0/1,1/3,0/0,1,0,0,0,0
Dubai vs Olympiacos,Dubai,N. Dangubic,14:01,2,1/1,0/0,0/0,2,3,0,0,3
Dubai vs Olympiacos,Dubai,B. Caboclo,10:24,6,2/2,0/1,2/2,2,0,0,1,2
Dubai vs Olympiacos,Dubai,K. Prepelič,3:30,0,0/0,0/0,0/0,0,2,0,0,0
Dubai vs Olympiacos,Dubai,A. Abass,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Dubai vs Olympiacos,Dubai,K. Kamenjas,0:00,0,0/0,0/0,0/0,0,0,0,0,0
