Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Efes vs Olympiacos,Olympiacos,T. Walkup,33:14,6,0/0,2/4,0/0,4,9,1,1,15
Efes vs Olympiacos,Olympiacos,A. Vezenkov,25:55,19,5/8,1/6,6/7,5,1,0,1,16
Efes vs Olympiacos,Olympiacos,E. Fournier,25:35,11,2/4,1/4,4/4,3,2,0,2,6
Efes vs Olympiacos,Olympiacos,T. Ward,21:02,9,3/4,0/2,3/6,4,2,0,2,5
Efes vs Olympiacos,Olympiacos,D. Hall,20:01,10,4/6,0/0,2/2,7,0,0,1,15
Efes vs Olympiacos,Olympiacos,T. Jones,19:52,2,0/0,0/0,2/8,2,0,0,1,-4
Efes vs Olympiacos,Olympiacos,T. Dorsey,17:07,11,2/4,2/3,1/2,0,2,0,1,5
Efes vs Olympiacos,Olympiacos,K. Papanikolaou,16:19,2,1/2,0/2,0/0,4,3,1,1,4
Efes vs Olympiacos,Olympiacos,A. Peters,14:12,4,0/1,1/1,1/1,1,1,1,0,5
Efes vs Olympiacos,Olympiacos,S. McKissic,6:43,0,0/0,0/0,0/0,0,0,1,0,-2
Efes vs Olympiacos,Olympiacos,G. Larentzakis,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Efes vs Olympiacos,Olympiacos,O. Netzipoglou,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Efes vs Olympiacos,Efes,N. Weiler-Babb,37:48,6,3/3,0/2,0/2,3,6,1,0,10
Efes vs Olympiacos,Efes,K. Jones,25:28,6,3/3,0/0,0/0,7,0,1,1,9
Efes vs Olympiacos,Efes,P. Dozier,24:30,16,2/10,2/5,6/6,1,2,0,1,4
Efes vs Olympiacos,Efes,I. Cordinier,24:08,8,0/3,1/4,5/6,3,1,0,2,2
Efes vs Olympiacos,Efes,E. Osmani,21:58,10,2/4,2/3,0/0,7,1,0,0,12
Efes vs Olympiacos,Efes,S. Lee,18:58,13,3/4,1/3,4/7,0,5,5,1,14
Efes vs Olympiacos,Efes,R. Šmits,15:52,4,2/3,0/1,0/0,4,1,0,0,5
Efes vs Olympiacos,Efes,B. Dessert,9:26,2,1/6,0/0,0/0,3,0,1,0,0
Efes vs Olympiacos,Efes,R. Beaubois,8:31,0,0/0,0/1,0/0,0,1,0,0,0
Efes vs Olympiacos,Efes,C. Swider,7:16,3,0/0,1/3,0/0,0,0,0,1,-1
Efes vs Olympiacos,Efes,S. Hazer,6:05,0,0/1,0/2,0/0,0,0,0,1,-6
Efes vs Olympiacos,Efes,E. Yilmaz,0:00,0,0/0,0/0,0/0,0,0,0,0,0
