Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Fenerbahce vs Olympiacos,Olympiacos,A. Vezenkov,31:23,24,7/8,1/3,7/7,6,1,1,1,28
Fenerbahce vs Olympiacos,Olympiacos,T. Dorsey,28:19,15,3/6,1/5,6/6,3,2,0,1,10
Fenerbahce vs Olympiacos,Olympiacos,D. Hall,27:10,16,7/11,0/0,2/5,11,1,0,0,18
Fenerbahce vs Olympiacos,Olympiacos,E. Fournier,25:23,15,2/5,3/9,2/2,1,4,0,1,9
Fenerbahce vs Olympiacos,Olympiacos,T. Walkup,23:35,2,1/4,0/1,0/0,3,5,1,4,1
Fenerbahce vs Olympiacos,Olympiacos,K. Papanikolaou,20:33,0,0/0,0/2,0/0,2,2,0,0,1
Fenerbahce vs Olympiacos,Olympiacos,M. Morris,16:31,2,1/2,0/1,0/0,1,1,0,1,-1
Fenerbahce vs Olympiacos,Olympiacos,A. Peters,14:53,4,1/3,0/2,2/2,1,0,0,0,-1
Fenerbahce vs Olympiacos,Olympiacos,K. Antetokounmpo,6:28,2,1/2,0/0,0/0,3,2,0,0,5
Fenerbahce vs Olympiacos,Olympiacos,G. Larentzakis,5:45,0,0/0,0/0,0/0,0,1,0,0,-1
Fenerbahce vs Olympiacos,Olympiacos,O. Netzipoglou,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Fenerbahce vs Olympiacos,Fenerbahce,N. Melli,27:59,11,1/3,3/5,0/1,7,1,0,1,12
Fenerbahce vs Olympiacos,Fenerbahce,W. Baldwin,27:48,17,3/6,3/5,2/4,6,11,2,3,23
Fenerbahce vs Olympiacos,Fenerbahce,T. Horton-Tucker,26:37,17,8/10,0/1,1/1,6,2,0,3,16
Fenerbahce vs Olympiacos,Fenerbahce,T. Biberovic,26:34,8,1/3,2/8,0/0,5,1,0,0,5
Fenerbahce vs Olympiacos,Fenerbahce,M. Jantunen,18:39,0,0/0,0/3,0/0,0,0,0,0,-5
Fenerbahce vs Olympiacos,Fenerbahce,B. Boston,17:06,14,5/5,1/4,1/1,3,0,2,0,14
Fenerbahce vs Olympiacos,Fenerbahce,D. Hall,16:56,10,4/6,0/1,2/2,3,1,0,1,6
Fenerbahce vs Olympiacos,Fenerbahce,B. Colson,15:50,5,1/2,1/4,0/0,2,1,0,0,4
Fenerbahce vs Olympiacos,Fenerbahce,K. Birch,11:59,2,1/1,0/0,0/0,1,0,1,0,2
Fenerbahce vs Olympiacos,Fenerbahce,C. Silva,10:32,4,2/3,0/0,0/0,1,0,0,0,3
Fenerbahce vs Olympiacos,Fenerbahce,A. Bacot,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Fenerbahce vs Olympiacos,Fenerbahce,M. Mahmutoglu,0:00,0,0/0,0/0,0/0,0,0,0,0,0
