Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Hapoel vs Olympiacos,Olympiacos,T. Dorsey,34:52,23,5/10,3/8,4/5,4,5,1,2,20
Hapoel vs Olympiacos,Olympiacos,A. Vezenkov,25:51,10,3/6,1/4,1/1,5,1,0,3,6
Hapoel vs Olympiacos,Olympiacos,T. Walkup,18:57,2,1/3,0/4,0/0,3,5,2,1,3
Hapoel vs Olympiacos,Olympiacos,K. Papanikolaou,18:53,9,0/0,3/4,0/0,2,1,1,1,8
Hapoel vs Olympiacos,Olympiacos,T. Ward,16:14,6,0/1,2/5,0/2,5,2,1,1,6
Hapoel vs Olympiacos,Olympiacos,A. Peters,16:13,11,4/4,1/3,0/0,8,1,0,1,16
Hapoel vs Olympiacos,Olympiacos,N. Milutinov,15:40,9,3/3,0/0,3/3,0,0,0,0,9
Hapoel vs Olympiacos,Olympiacos,M. Fall,12:03,0,0/0,0/0,0/0,3,4,0,0,9
Hapoel vs Olympiacos,Olympiacos,D. Hall,11:58,6,3/3,0/0,0/0,5,0,0,1,7
Hapoel vs Olympiacos,Olympiacos,S. McKissic,7:45,3,1/1,0/3,1/1,2,2,0,1,2
Hapoel vs Olympiacos,Hapoel,C. Malcolm,31:23,11,4/7,1/3,0/0,6,1,1,1,12
Hapoel vs Olympiacos,Hapoel,V. Micic,31:18,14,3/4,2/4,2/2,5,8,0,2,19
Hapoel vs Olympiacos,Hapoel,E. Bryant,29:18,15,6/11,1/2,0/0,3,2,0,3,8
Hapoel vs Olympiacos,Hapoel,A. Blakeney,24:51,16,4/7,2/5,2/2,3,1,0,1,10
Hapoel vs Olympiacos,Hapoel,D. Oturu,24:04,9,4/8,0/0,1/2,5,1,1,0,10
Hapoel vs Olympiacos,Hapoel,C. Jones,23:13,10,0/4,3/4,1/2,4,8,2,0,16
Hapoel vs Olympiacos,Hapoel,T. Odiase,15:56,8,4/5,0/0,0/0,2,0,1,0,7
Hapoel vs Olympiacos,Hapoel,I. Wainright,14:18,2,1/1,0/3,0/0,3,0,1,0,1
Hapoel vs Olympiacos,Hapoel,K. Edwards,5:39,0,0/0,0/1,0/0,0,0,0,0,-2
Hapoel vs Olympiacos,Hapoel,J. Motley,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Hapoel vs Olympiacos,Hapoel,L. Randolph,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Hapoel vs Olympiacos,Hapoel,Y. Madar,0:00,0,0/0,0/0,0/0,0,0,0,0,0
