Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Maccabi vs Olympiacos,Olympiacos,T. Dorsey,34:47,18,5/8,2/8,2/2,5,5,1,4,15
Maccabi vs Olympiacos,Olympiacos,A. Vezenkov,29:54,23,6/7,2/5,5/5,10,2,0,1,29
Maccabi vs Olympiacos,Olympiacos,F. Ntilikina,23:28,7,1/2,1/2,2/2,0,3,1,1,5
Maccabi vs Olympiacos,Olympiacos,T. Ward,22:49,6,0/2,2/5,0/0,2,8,0,1,7
Maccabi vs Olympiacos,Olympiacos,N. Milutinov,20:42,23,8/9,0/0,7/8,5,0,0,0,22
Maccabi vs Olympiacos,Olympiacos,D. Hall,19:18,8,4/4,0/0,0/1,6,1,0,1,14
Maccabi vs Olympiacos,Olympiacos,K. Papanikolaou,17:11,3,0/0,1/2,0/0,2,2,0,1,2
Maccabi vs Olympiacos,Olympiacos,S. Lee,16:32,5,1/1,1/3,0/0,0,4,0,4,2
Maccabi vs Olympiacos,Olympiacos,A. Peters,10:06,2,1/2,0/0,0/0,0,0,0,2,-3
Maccabi vs Olympiacos,Olympiacos,G. Larentzakis,5:13,0,0/0,0/1,0/0,1,1,0,1,-1
Maccabi vs Olympiacos,Olympiacos,K. Antetokounmpo,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Maccabi vs Olympiacos,Olympiacos,O. Netzipoglou,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Maccabi vs Olympiacos,Maccabi,J. Hoard,36:50,12,5/12,0/0,2/3,10,2,1,0,16
Maccabi vs Olympiacos,Maccabi,O. Brissett,29:47,7,2/3,1/3,0/0,8,0,1,2,9
Maccabi vs Olympiacos,Maccabi,L. Walker,26:07,15,4/8,1/5,4/7,1,3,3,3,7
Maccabi vs Olympiacos,Maccabi,J. Dowtin,23:06,24,2/2,6/7,2/2,1,1,1,0,24
Maccabi vs Olympiacos,Maccabi,R. Sorkin,17:19,12,5/6,0/2,2/2,1,1,2,1,9
Maccabi vs Olympiacos,Maccabi,M. Santos,16:39,7,3/3,0/1,1/1,2,0,0,3,0
Maccabi vs Olympiacos,Maccabi,T. Blatt,16:36,3,0/0,1/5,0/0,1,3,0,2,0
Maccabi vs Olympiacos,Maccabi,T. Leaf,12:29,7,2/6,0/0,3/3,3,2,0,0,6
Maccabi vs Olympiacos,Maccabi,J. III,10:06,4,2/3,0/2,0/1,0,2,1,1,1
Maccabi vs Olympiacos,Maccabi,J. DiBartolomeo,8:53,3,0/0,1/2,0/0,0,1,0,0,2
Maccabi vs Olympiacos,Maccabi,W. Rayman,2:08,0,0/0,0/0,0/0,1,0,0,0,-1
Maccabi vs Olympiacos,Maccabi,C. Omoruyi,0:00,0,0/0,0/0,0/0,0,0,0,0,0
