Name,Team,PTS,REB,AST,STL,TO,PIR,2FG,3FG,FT,MIN
J. Lundberg,Maccabi Tel Aviv,3,1,0,0,0,1,1/3,0/1,1/1,07:50
J. Clark III,Maccabi Tel Aviv,10,3,5,0,1,13,2/6,1/2,3/4,24:56
M. Santos,Maccabi Tel Aviv,8,1,0,0,3,5,1/2,2/3,0/0,16:06
G. Lavi,Maccabi Tel Aviv,4,1,2,0,5,9,1/2,0/1,2/2,20:21
L. Walker IV,Maccabi Tel Aviv,21,4,4,1,0,21,3/6,4/8,3/4,24:47
R. Sorkin,Maccabi Tel Aviv,20,4,1,0,3,13,7/12,2/2,0/0,29:11
O. Brissett,Maccabi Tel Aviv,4,6,2,0,1,4,0/4,1/3,1/2,28:18
W. Rayman,Maccabi Tel Aviv,2,3,0,0,1,3,0/1,0/0,2/2,15:31
J. DiBartolomeo,Maccabi Tel Aviv,6,2,0,0,0,9,0/0,2/3,0/0,11:45
C. Omoruyi,Maccabi Tel Aviv,0,1,0,0,0,-1,0/1,0/0,0/0,04:59
T. Blatt,Maccabi Tel Aviv,10,3,1,0,0,13,1/1,2/4,2/2,16:16
D. Booker,Olimpia Milano,8,1,1,0,1,6,4/4,0/1,0/0,15:38
L. Bolmaro,Olimpia Milano,11,6,3,1,1,15,3/6,1/5,2/2,20:59
A. Brooks,Olimpia Milano,10,7,4,2,1,20,2/4,2/5,0/0,23:32
Z. LeDay,Olimpia Milano,16,6,3,1,2,20,2/3,2/5,6/6,23:35
G. Ricci,Olimpia Milano,8,3,2,0,0,9,1/1,2/3,0/0,19:42
D. Flaccadori,Olimpia Milano,0,0,0,0,0,-3,0/0,0/1,0/0,03:17
M. Gudaitis,Olimpia Milano,7,2,2,1,1,10,2/2,0/2,3/3,19:31
S. Shields,Olimpia Milano,26,7,6,1,3,39,4/4,3/7,9/9,25:36
B. Nebo,Olimpia Milano,11,3,2,2,1,14,2/5,0/0,7/7,20:49
B. Dunston,Olimpia Milano,0,0,0,0,0,0,0/0,0/0,0/0,00:14
Q. Ellis,Olimpia Milano,1,7,4,0,1,3,0/3,0/1,1/2,27:07
N. Mannion,Olimpia Milano,0,0,0,0,0,0,0/0,0/0,0/0,00:00
