Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Monaco vs Olympiacos,Olympiacos,A. Peters,29:24,17,5/8,2/4,1/2,2,2,1,1,12
Monaco vs Olympiacos,Olympiacos,F. Ntilikina,27:19,6,0/2,2/6,0/0,3,4,0,2,3
Monaco vs Olympiacos,Olympiacos,T. Dorsey,25:27,19,1/4,5/9,2/4,3,2,1,2,13
Monaco vs Olympiacos,Olympiacos,N. Milutinov,25:15,13,3/3,0/1,7/9,10,2,2,0,23
Monaco vs Olympiacos,Olympiacos,T. Ward,24:49,10,2/4,1/3,3/4,2,0,1,1,7
Monaco vs Olympiacos,Olympiacos,K. Papanikolaou,15:11,5,1/1,1/1,0/0,1,0,0,3,0
Monaco vs Olympiacos,Olympiacos,E. Fournier,14:33,3,0/2,1/4,0/0,2,0,0,0,-4
Monaco vs Olympiacos,Olympiacos,S. McKissic,10:36,1,0/0,0/1,1/2,1,2,2,1,3
Monaco vs Olympiacos,Olympiacos,D. Hall,9:17,0,0/1,0/0,0/0,3,0,0,0,1
Monaco vs Olympiacos,Olympiacos,T. Jones,5:28,0,0/0,0/0,0/0,0,0,1,0,-1
Monaco vs Olympiacos,Olympiacos,M. Morris,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Monaco vs Olympiacos,Monaco,M. James,29:10,14,3/8,0/2,8/8,5,5,2,3,15
Monaco vs Olympiacos,Monaco,J. Blossomgame,28:36,13,6/6,0/1,1/2,3,1,0,2,10
Monaco vs Olympiacos,Monaco,A. Diallo,25:54,8,4/6,0/4,0/0,5,0,2,2,3
Monaco vs Olympiacos,Monaco,M. Strazel,24:59,9,3/4,1/4,0/0,1,5,2,2,7
Monaco vs Olympiacos,Monaco,N. Nedovic,23:01,8,0/3,2/6,2/3,4,3,0,0,4
Monaco vs Olympiacos,Monaco,D. Theis,21:01,13,4/4,1/3,2/2,5,3,0,0,15
Monaco vs Olympiacos,Monaco,K. Hayes,18:59,0,0/4,0/0,0/0,0,1,0,2,-9
Monaco vs Olympiacos,Monaco,J. Begarin,18:40,9,4/4,0/3,1/1,7,1,0,0,14
Monaco vs Olympiacos,Monaco,T. Tarpey,9:40,7,2/2,1/1,0/0,3,0,1,0,10
