Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Olympiacos vs Armani,Armani,S. Shields,28:33,24,4/7,5/11,1/1,3,1,0,4,13
Olympiacos vs Armani,Armani,A. Brooks,27:04,13,2/5,3/6,0/0,3,1,0,2,8
Olympiacos vs Armani,Armani,Q. Ellis,26:43,3,1/3,0/0,1/2,5,8,2,1,10
Olympiacos vs Armani,Armani,L. Bolmaro,21:36,9,3/5,1/3,0/0,2,5,1,1,11
Olympiacos vs Armani,Armani,G. Ricci,20:48,6,0/0,2/4,0/0,6,2,0,0,9
Olympiacos vs Armani,Armani,D. Booker,17:35,7,2/4,1/3,0/0,0,2,1,0,6
Olympiacos vs Armani,Armani,J. Nebo,16:05,3,1/6,0/0,1/2,8,0,0,1,2
Olympiacos vs Armani,Armani,N. Mannion,12:56,8,1/2,2/4,0/0,1,1,0,2,4
Olympiacos vs Armani,Armani,S. Tonut,11:26,0,0/0,0/1,0/0,0,1,0,1,-3
Olympiacos vs Armani,Armani,N. Sestina,10:54,3,0/0,1/4,0/0,2,0,0,0,1
Olympiacos vs Armani,Armani,B. Dunston,6:20,0,0/0,0/0,0/0,0,0,0,0,1
Olympiacos vs Armani,Armani,O. Diop,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Olympiacos vs Armani,Olympiacos,A. Vezenkov,27:24,20,7/16,1/4,3/3,4,0,2,0,13
Olympiacos vs Armani,Olympiacos,T. Dorsey,27:03,18,5/10,2/6,2/2,3,3,0,3,11
Olympiacos vs Armani,Olympiacos,T. Walkup,25:27,2,1/2,0/0,0/0,3,6,1,0,10
Olympiacos vs Armani,Olympiacos,N. Milutinov,24:20,13,5/6,0/0,3/3,15,1,0,1,26
Olympiacos vs Armani,Olympiacos,T. Ward,18:30,2,0/1,0/2,2/2,0,2,0,0,-2
Olympiacos vs Armani,Olympiacos,A. Peters,17:58,2,1/1,0/1,0/0,2,1,0,0,2
Olympiacos vs Armani,Olympiacos,D. Hall,14:17,14,5/6,0/0,4/4,5,1,0,1,17
Olympiacos vs Armani,Olympiacos,E. Fournier,14:14,6,0/1,2/6,0/0,1,2,3,4,1
Olympiacos vs Armani,Olympiacos,K. Papanikolaou,11:34,0,0/0,0/1,0/0,1,1,0,0,0
Olympiacos vs Armani,Olympiacos,S. McKissic,6:56,3,0/1,0/1,3/3,0,1,0,0,2
Olympiacos vs Armani,Olympiacos,M. Fall,1:23,0,0/0,0/0,0/0,0,1,0,0,1
