Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Olympiacos vs Asvel,Asvel,M. Ajinca,26:49,8,2/4,1/5,1/2,4,0,1,0,5
Olympiacos vs Asvel,Asvel,M. Ndiaye,22:55,6,3/4,0/0,0/0,5,3,1,1,14
Olympiacos vs Asvel,Asvel,T. Heurtel,20:38,9,2/4,1/2,2/2,3,8,0,5,12
Olympiacos vs Asvel,Asvel,G. Jr.,20:36,9,3/5,1/4,0/0,0,2,0,0,5
Olympiacos vs Asvel,Asvel,S. Harrison,19:58,11,4/5,0/1,3/3,5,3,0,2,12
Olympiacos vs Asvel,Asvel,D. Lighty,17:37,6,0/0,2/3,0/0,3,0,1,0,7
Olympiacos vs Asvel,Asvel,B. Massa,17:28,4,2/5,0/0,0/0,3,2,0,3,1
Olympiacos vs Asvel,Asvel,E. Jackson,14:51,10,2/3,2/5,0/0,0,1,0,1,4
Olympiacos vs Asvel,Asvel,A. Traore,13:56,8,4/4,0/2,0/0,2,0,0,1,5
Olympiacos vs Asvel,Asvel,A. Atamna,13:37,6,0/2,2/2,0/0,0,1,2,1,3
Olympiacos vs Asvel,Asvel,B. Vautier,11:35,7,3/3,0/0,1/2,1,0,0,1,1
Olympiacos vs Asvel,Olympiacos,A. Vezenkov,29:43,17,4/6,1/2,6/6,5,4,1,0,24
Olympiacos vs Asvel,Olympiacos,E. Fournier,26:57,21,5/6,2/3,5/6,2,1,2,3,18
Olympiacos vs Asvel,Olympiacos,T. Dorsey,26:09,22,4/5,4/8,2/3,0,6,0,0,20
Olympiacos vs Asvel,Olympiacos,N. Milutinov,22:14,10,5/8,0/0,0/1,6,2,0,0,17
Olympiacos vs Asvel,Olympiacos,F. Ntilikina,20:09,11,3/4,1/2,2/3,0,3,1,0,12
Olympiacos vs Asvel,Olympiacos,T. Walkup,17:59,0,0/1,0/1,0/0,1,3,0,1,-1
Olympiacos vs Asvel,Olympiacos,D. Hall,17:46,10,3/3,0/0,4/5,3,0,1,1,10
Olympiacos vs Asvel,Olympiacos,A. Peters,17:24,6,0/2,2/6,0/0,7,3,3,2,9
Olympiacos vs Asvel,Olympiacos,K. Papanikolaou,16:03,5,1/1,1/4,0/0,1,3,1,1,4
Olympiacos vs Asvel,Olympiacos,S. Lee,4:21,3,0/1,1/1,0/0,1,0,0,1,1
Olympiacos vs Asvel,Olympiacos,O. Netzipoglou,1:15,2,1/1,0/1,0/0,0,0,0,0,1
Olympiacos vs Asvel,Olympiacos,K. Antetokounmpo,0:00,0,0/0,0/0,0/0,0,0,0,0,0
