Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Olympiacos vs Barcelona,Barcelona,K. Punter,31:35,15,2/7,2/4,5/5,1,4,0,4,8
Olympiacos vs Barcelona,Barcelona,T. Satoransky,28:43,5,0/1,1/3,2/2,5,5,1,2,9
Olympiacos vs Barcelona,Barcelona,J. Vesely,27:23,12,6/9,0/1,0/0,2,3,1,1,10
Olympiacos vs Barcelona,Barcelona,T. Shengelia,26:51,12,5/8,0/1,2/4,8,1,1,5,9
Olympiacos vs Barcelona,Barcelona,D. Brizuela,23:37,14,1/2,3/4,3/3,2,2,1,1,13
Olympiacos vs Barcelona,Barcelona,W. Clyburn,17:16,14,2/4,2/4,4/7,2,1,0,0,8
Olympiacos vs Barcelona,Barcelona,M. Norris,12:50,3,0/0,1/2,0/0,1,0,1,0,4
Olympiacos vs Barcelona,Barcelona,W. Hernangómez,12:08,0,0/1,0/0,0/0,1,0,0,1,-3
Olympiacos vs Barcelona,Barcelona,N. Laprovittola,8:48,0,0/0,0/0,0/0,2,0,0,3,-5
Olympiacos vs Barcelona,Barcelona,J. Parra,7:07,0,0/1,0/1,0/0,2,1,1,1,1
Olympiacos vs Barcelona,Barcelona,J. Marcos,3:42,0,0/1,0/0,0/0,1,2,0,0,1
Olympiacos vs Barcelona,Barcelona,Y. Fall,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Olympiacos vs Barcelona,Olympiacos,A. Vezenkov,34:09,20,4/8,3/6,3/3,11,0,2,1,24
Olympiacos vs Barcelona,Olympiacos,T. Dorsey,30:00,17,3/7,3/10,2/3,4,3,0,3,7
Olympiacos vs Barcelona,Olympiacos,T. Ward,22:38,8,3/5,0/1,2/2,5,5,1,2,11
Olympiacos vs Barcelona,Olympiacos,T. Walkup,22:21,3,0/1,1/2,0/0,1,2,1,3,-1
Olympiacos vs Barcelona,Olympiacos,E. Fournier,21:28,6,3/5,0/1,0/0,2,4,1,0,5
Olympiacos vs Barcelona,Olympiacos,T. Jones,20:54,16,5/7,0/0,6/8,8,2,3,0,26
Olympiacos vs Barcelona,Olympiacos,N. Milutinov,19:06,8,4/5,0/1,0/0,6,1,1,1,13
Olympiacos vs Barcelona,Olympiacos,S. McKissic,11:28,5,2/2,0/3,1/2,0,0,1,0,2
Olympiacos vs Barcelona,Olympiacos,A. Peters,5:51,2,1/1,0/1,0/0,1,0,0,0,-1
Olympiacos vs Barcelona,Olympiacos,D. Hall,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Olympiacos vs Barcelona,Olympiacos,G. Larentzakis,0:00,0,0/0,0/0,0/0,0,0,0,0,0
