Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Olympiacos vs Baskonia,Baskonia,E. Omoruyi,33:51,18,4/6,2/9,4/6,5,5,4,4,16
Olympiacos vs Baskonia,Baskonia,M. Diakite,30:10,11,4/7,0/5,3/3,5,5,2,0,14
Olympiacos vs Baskonia,Baskonia,T. Forrest,27:44,11,2/3,1/3,4/4,4,5,1,0,17
Olympiacos vs Baskonia,Baskonia,T. Luwawu-Cabarrot,27:27,14,4/6,2/4,0/0,5,3,0,3,11
Olympiacos vs Baskonia,Baskonia,K. Simmons,24:43,10,1/3,2/3,2/2,2,2,0,1,7
Olympiacos vs Baskonia,Baskonia,G. Radzevicius,18:05,2,1/2,0/2,0/0,0,0,0,0,-3
Olympiacos vs Baskonia,Baskonia,C. Frisch,14:15,9,3/3,1/3,0/0,1,0,1,1,5
Olympiacos vs Baskonia,Baskonia,R. Villar,12:35,4,2/2,0/0,0/0,0,1,1,0,4
Olympiacos vs Baskonia,Baskonia,M. Spagnolo,8:42,1,0/0,0/0,1/2,1,0,0,1,-3
Olympiacos vs Baskonia,Baskonia,M. Nowell,2:28,0,0/1,0/0,0/0,1,0,0,0,-1
Olympiacos vs Baskonia,Baskonia,J. Bol,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Olympiacos vs Baskonia,Baskonia,V. Hrabar,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Olympiacos vs Baskonia,Olympiacos,A. Vezenkov,27:27,20,9/11,0/5,2/3,6,2,0,0,20
Olympiacos vs Baskonia,Olympiacos,T. Ward,26:15,3,1/3,0/0,1/3,4,4,1,1,6
Olympiacos vs Baskonia,Olympiacos,T. Walkup,24:43,2,1/1,0/2,0/0,2,7,3,0,9
Olympiacos vs Baskonia,Olympiacos,N. Milutinov,22:52,17,7/10,0/0,3/3,6,2,0,1,21
Olympiacos vs Baskonia,Olympiacos,T. Dorsey,19:59,15,3/6,2/5,3/4,3,3,0,2,10
Olympiacos vs Baskonia,Olympiacos,E. Fournier,17:09,6,2/4,0/4,2/2,3,5,1,2,7
Olympiacos vs Baskonia,Olympiacos,T. Jones,17:08,15,6/6,0/0,3/5,2,0,1,3,9
Olympiacos vs Baskonia,Olympiacos,A. Peters,12:33,3,0/0,1/2,0/0,2,1,0,0,4
Olympiacos vs Baskonia,Olympiacos,K. Papanikolaou,10:00,3,0/0,1/2,0/0,0,0,0,0,1
Olympiacos vs Baskonia,Olympiacos,S. McKissic,6:37,2,1/2,0/2,0/0,2,0,0,1,0
Olympiacos vs Baskonia,Olympiacos,M. Morris,3:23,0,0/0,0/0,0/0,1,1,0,0,2
