Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Olympiacos vs Bayern,Bayern,A. Obst,32:03,21,3/6,3/8,6/7,0,1,1,3,11
Olympiacos vs Bayern,Bayern,I. Mike,26:44,13,2/4,3/5,0/0,7,2,0,0,14
Olympiacos vs Bayern,Bayern,D. McCormack,26:39,13,6/8,0/0,1/1,8,0,2,5,14
Olympiacos vs Bayern,Bayern,J. Jessup,25:47,10,2/3,2/5,0/0,1,1,3,1,9
Olympiacos vs Bayern,Bayern,N. Dimitrijevic,22:32,6,3/4,0/1,0/0,0,5,3,3,6
Olympiacos vs Bayern,Bayern,X. Rathan-Mayes,17:28,7,1/2,1/3,2/2,0,7,0,3,5
Olympiacos vs Bayern,Bayern,N. Giffey,15:33,5,1/2,1/2,0/0,1,1,1,3,2
Olympiacos vs Bayern,Bayern,J. Voigtmann,14:20,3,0/0,1/1,0/0,3,0,0,0,4
Olympiacos vs Bayern,Bayern,W. Gabriel,13:21,2,1/1,0/1,0/0,1,0,0,2,-3
Olympiacos vs Bayern,Bayern,O. Silva,5:33,0,0/0,0/0,0/0,0,1,0,0,0
Olympiacos vs Bayern,Bayern,L. Kratzer,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Olympiacos vs Bayern,Olympiacos,T. Walkup,32:56,2,1/1,0/3,0/0,0,6,1,2,4
Olympiacos vs Bayern,Olympiacos,T. Dorsey,29:48,10,2/4,2/8,0/0,4,6,1,2,8
Olympiacos vs Bayern,Olympiacos,A. Vezenkov,25:14,25,8/10,2/2,3/3,3,4,1,0,30
Olympiacos vs Bayern,Olympiacos,N. Milutinov,23:24,14,4/4,0/0,6/7,8,2,0,2,21
Olympiacos vs Bayern,Olympiacos,K. Papanikolaou,19:51,10,2/2,2/7,0/0,2,4,1,1,9
Olympiacos vs Bayern,Olympiacos,E. Fournier,17:09,10,1/2,2/7,2/2,2,2,1,1,3
Olympiacos vs Bayern,Olympiacos,D. Hall,16:21,9,3/4,0/0,3/4,6,0,2,2,13
Olympiacos vs Bayern,Olympiacos,A. Peters,14:46,4,0/0,0/2,4/4,2,1,0,3,1
Olympiacos vs Bayern,Olympiacos,M. Morris,10:30,1,0/1,0/2,1/3,1,0,0,0,-5
Olympiacos vs Bayern,Olympiacos,T. Ward,10:01,10,3/5,1/2,1/1,1,3,3,1,11
Olympiacos vs Bayern,Olympiacos,G. Larentzakis,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Olympiacos vs Bayern,Olympiacos,T. Jones,0:00,0,0/0,0/0,0/0,0,0,0,0,0
