Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Olympiacos vs Dubai,Dubai,D. Bacon,33:39,13,4/10,1/4,2/4,6,4,1,4,6
Olympiacos vs Dubai,Dubai,M. IV,28:39,7,2/6,0/2,3/4,2,6,2,0,6
Olympiacos vs Dubai,Dubai,F. Petrušev,26:51,14,4/9,0/0,6/7,2,1,1,1,8
Olympiacos vs Dubai,Dubai,A. Abass,23:50,0,0/1,0/4,0/0,0,3,0,0,-6
Olympiacos vs Dubai,Dubai,D. Bertāns,23:40,10,2/2,2/7,0/0,1,2,0,1,7
Olympiacos vs Dubai,Dubai,K. Prepelič,16:04,6,1/1,1/3,1/1,2,1,2,1,4
Olympiacos vs Dubai,Dubai,M. Kabengele,15:37,10,4/6,0/1,2/3,5,0,0,0,9
Olympiacos vs Dubai,Dubai,N. Dangubic,14:29,3,1/3,0/1,1/1,2,0,0,0,1
Olympiacos vs Dubai,Dubai,K. Kamenjas,10:00,2,1/1,0/0,0/0,4,0,0,0,5
Olympiacos vs Dubai,Dubai,D. Andusic,4:00,2,0/0,0/2,2/2,0,0,0,0,-1
Olympiacos vs Dubai,Dubai,S. Sanli,3:11,0,0/0,0/0,0/0,0,0,0,0,-1
Olympiacos vs Dubai,Olympiacos,S. Lee,24:57,10,2/5,1/2,3/4,0,3,0,2,6
Olympiacos vs Dubai,Olympiacos,T. Dorsey,23:51,14,1/3,2/6,6/7,3,2,2,2,12
Olympiacos vs Dubai,Olympiacos,A. Vezenkov,23:31,25,6/8,3/6,4/6,11,1,0,0,30
Olympiacos vs Dubai,Olympiacos,T. Ward,22:06,5,1/3,1/2,0/2,5,0,1,0,4
Olympiacos vs Dubai,Olympiacos,N. Milutinov,20:08,13,4/4,0/0,5/6,11,0,0,2,21
Olympiacos vs Dubai,Olympiacos,K. Papanikolaou,20:02,3,1/1,0/1,1/2,2,4,1,2,4
Olympiacos vs Dubai,Olympiacos,A. Peters,19:24,4,2/2,0/3,0/0,1,1,1,2,0
Olympiacos vs Dubai,Olympiacos,F. Ntilikina,15:03,7,1/5,1/1,2/2,0,3,0,1,2
Olympiacos vs Dubai,Olympiacos,D. Hall,13:42,5,2/2,0/0,1/1,4,1,0,0,10
Olympiacos vs Dubai,Olympiacos,O. Netzipoglou,7:44,0,0/1,0/0,0/0,0,0,0,0,-3
Olympiacos vs Dubai,Olympiacos,K. Antetokounmpo,6:10,0,0/0,0/0,0/0,1,1,0,0,1
Olympiacos vs Dubai,Olympiacos,G. Larentzakis,3:22,0,0/0,0/1,0/0,0,0,0,1,-3
