Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Olympiacos vs Efes,Efes,S. Larkin,31:08,18,2/11,4/4,2/2,0,3,1,4,9
Olympiacos vs Efes,Efes,N. Weiler-Babb,29:43,0,0/2,0/1,0/0,4,2,2,0,0
Olympiacos vs Efes,Efes,G. Papagiannis,22:58,3,0/0,1/2,0/0,4,2,1,0,10
Olympiacos vs Efes,Efes,P. Dozier,20:43,11,5/11,0/2,1/2,4,3,2,0,9
Olympiacos vs Efes,Efes,I. Cordinier,19:55,10,2/3,2/4,0/0,7,2,0,2,10
Olympiacos vs Efes,Efes,J. Loyd,17:51,2,1/5,0/5,0/0,0,2,2,1,-5
Olympiacos vs Efes,Efes,E. Osmani,17:02,12,4/6,1/2,1/2,3,0,1,0,8
Olympiacos vs Efes,Efes,C. Swider,14:09,20,2/3,4/7,4/4,3,0,0,0,18
Olympiacos vs Efes,Efes,K. Jones,10:09,6,2/2,0/0,2/2,7,0,0,0,12
Olympiacos vs Efes,Efes,R. Beaubois,8:58,0,0/1,0/0,0/0,0,0,0,0,-1
Olympiacos vs Efes,Efes,R. Šmits,7:24,0,0/0,0/1,0/0,2,1,0,1,-2
Olympiacos vs Efes,Efes,S. Hazer,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Olympiacos vs Efes,Olympiacos,T. Ward,30:06,13,2/4,1/3,6/10,5,7,0,1,12
Olympiacos vs Efes,Olympiacos,A. Vezenkov,29:54,12,2/3,0/3,8/9,7,1,1,3,13
Olympiacos vs Efes,Olympiacos,F. Ntilikina,29:04,9,4/7,0/4,1/1,1,2,2,3,1
Olympiacos vs Efes,Olympiacos,T. Dorsey,23:04,11,1/4,3/8,0/0,4,1,0,2,4
Olympiacos vs Efes,Olympiacos,N. Milutinov,19:26,7,2/5,0/0,3/4,3,0,1,0,8
Olympiacos vs Efes,Olympiacos,K. Papanikolaou,18:03,4,0/0,1/2,1/2,3,1,1,1,4
Olympiacos vs Efes,Olympiacos,A. Peters,17:31,14,1/1,4/5,0/0,4,0,1,1,14
Olympiacos vs Efes,Olympiacos,D. Hall,16:21,6,2/3,0/0,2/2,5,0,0,1,10
Olympiacos vs Efes,Olympiacos,S. Lee,12:27,0,0/1,0/1,0/0,0,1,0,1,-4
Olympiacos vs Efes,Olympiacos,K. Antetokounmpo,3:59,2,1/1,0/0,0/0,1,1,0,1,2
Olympiacos vs Efes,Olympiacos,O. Netzipoglou,0:05,0,0/0,0/0,0/0,0,0,0,0,0
Olympiacos vs Efes,Olympiacos,G. Larentzakis,0:00,0,0/0,0/0,0/0,0,0,0,0,0
