Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Olympiacos vs Fenerbahce,Fenerbahce,T. Biberovic,30:54,15,0/0,4/5,3/3,3,3,0,0,18
Olympiacos vs Fenerbahce,Fenerbahce,W. Baldwin,29:19,16,5/8,2/4,0/0,2,8,0,4,16
Olympiacos vs Fenerbahce,Fenerbahce,T. Horton-Tucker,26:36,30,8/10,4/7,2/2,6,3,1,6,27
Olympiacos vs Fenerbahce,Fenerbahce,B. Boston,22:16,6,3/6,0/2,0/0,1,0,0,1,-1
Olympiacos vs Fenerbahce,Fenerbahce,J. Birsen,21:49,3,0/1,1/1,0/0,2,0,1,1,3
Olympiacos vs Fenerbahce,Fenerbahce,B. Colson,21:03,13,2/3,3/6,0/0,2,1,1,0,9
Olympiacos vs Fenerbahce,Fenerbahce,K. Birch,17:02,2,1/2,0/0,0/0,2,1,2,1,2
Olympiacos vs Fenerbahce,Fenerbahce,A. Bacot,11:38,0,0/1,0/1,0/0,1,0,0,2,-4
Olympiacos vs Fenerbahce,Fenerbahce,A. Žagars,10:29,2,0/1,0/0,2/2,0,2,1,1,2
Olympiacos vs Fenerbahce,Fenerbahce,O. Bitim,8:54,0,0/1,0/2,0/0,2,0,0,0,-2
Olympiacos vs Fenerbahce,Fenerbahce,M. Mahmutoglu,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Olympiacos vs Fenerbahce,Olympiacos,N. Milutinov,24:49,6,1/1,0/0,4/4,7,0,0,0,14
Olympiacos vs Fenerbahce,Olympiacos,E. Fournier,23:25,36,9/11,5/9,3/5,1,3,1,1,31
Olympiacos vs Fenerbahce,Olympiacos,A. Vezenkov,23:22,24,10/11,0/3,4/4,2,1,2,1,24
Olympiacos vs Fenerbahce,Olympiacos,T. Walkup,22:10,7,2/2,1/2,0/0,2,11,1,0,19
Olympiacos vs Fenerbahce,Olympiacos,T. Ward,20:20,6,2/3,0/2,2/2,4,2,0,0,8
Olympiacos vs Fenerbahce,Olympiacos,F. Ntilikina,17:38,0,0/0,0/2,0/0,1,1,0,1,-5
Olympiacos vs Fenerbahce,Olympiacos,A. Peters,16:38,9,2/2,1/3,2/2,2,1,2,0,9
Olympiacos vs Fenerbahce,Olympiacos,T. Dorsey,16:35,10,1/3,1/4,5/5,1,2,0,1,5
Olympiacos vs Fenerbahce,Olympiacos,D. Hall,15:11,4,2/3,0/0,0/0,2,1,1,1,7
Olympiacos vs Fenerbahce,Olympiacos,S. McKissic,13:05,2,1/1,0/0,0/0,1,2,1,1,4
Olympiacos vs Fenerbahce,Olympiacos,K. Papanikolaou,6:35,0,0/0,0/0,0/0,0,1,0,1,0
Olympiacos vs Fenerbahce,Olympiacos,G. Larentzakis,0:12,0,0/0,0/0,0/0,0,0,0,0,0
