Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Olympiacos vs Hapoel,Hapoel,E. Bryant,30:32,7,2/5,1/3,0/0,8,3,0,2,9
Olympiacos vs Hapoel,Hapoel,C. Malcolm,29:21,10,3/3,1/3,1/2,4,2,3,0,17
Olympiacos vs Hapoel,Hapoel,V. Micic,24:35,10,1/5,2/8,2/2,4,3,0,4,0
Olympiacos vs Hapoel,Hapoel,I. Wainright,23:07,3,0/1,1/5,0/0,1,0,0,0,-3
Olympiacos vs Hapoel,Hapoel,A. Blakeney,21:46,13,2/3,2/7,3/3,3,2,1,2,9
Olympiacos vs Hapoel,Hapoel,D. Oturu,21:30,6,3/5,0/0,0/0,6,0,0,2,6
Olympiacos vs Hapoel,Hapoel,C. Jones,20:50,4,2/4,0/2,0/0,4,2,1,1,4
Olympiacos vs Hapoel,Hapoel,J. Motley,18:50,5,2/3,0/1,1/2,0,0,0,1,-2
Olympiacos vs Hapoel,Hapoel,T. Ginat,4:26,0,0/2,0/0,0/0,1,0,1,0,0
Olympiacos vs Hapoel,Hapoel,T. Odiase,3:42,0,0/0,0/0,0/0,0,0,0,1,-2
Olympiacos vs Hapoel,Hapoel,T. Ennis,1:21,0,0/0,0/0,0/0,0,0,0,0,0
Olympiacos vs Hapoel,Hapoel,B. Timor,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Olympiacos vs Hapoel,Olympiacos,E. Fournier,33:19,3,0/4,1/7,0/0,3,5,0,2,-4
Olympiacos vs Hapoel,Olympiacos,N. Milutinov,26:33,10,4/7,0/0,2/3,13,0,3,0,22
Olympiacos vs Hapoel,Olympiacos,A. Vezenkov,26:07,14,3/6,1/4,5/5,4,1,1,2,12
Olympiacos vs Hapoel,Olympiacos,T. Walkup,23:37,3,0/0,1/4,0/0,4,5,0,1,6
Olympiacos vs Hapoel,Olympiacos,T. Ward,21:59,8,3/5,0/5,2/2,4,1,0,0,5
Olympiacos vs Hapoel,Olympiacos,T. Dorsey,17:42,11,1/4,3/5,0/0,0,3,0,3,5
Olympiacos vs Hapoel,Olympiacos,F. Ntilikina,16:18,2,1/2,0/3,0/0,1,0,0,4,-5
Olympiacos vs Hapoel,Olympiacos,A. Peters,13:58,5,1/2,1/2,0/0,2,1,0,3,0
Olympiacos vs Hapoel,Olympiacos,D. Hall,13:27,6,3/3,0/0,0/0,6,0,0,0,10
Olympiacos vs Hapoel,Olympiacos,S. McKissic,7:00,0,0/0,0/1,0/0,0,0,0,0,-2
Olympiacos vs Hapoel,Olympiacos,K. Papanikolaou,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Olympiacos vs Hapoel,Olympiacos,S. Lee,0:00,0,0/0,0/0,0/0,0,0,0,0,0
