Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Olympiacos vs Maccabi,Maccabi,J. Hoard,26:34,11,4/5,1/3,0/0,6,3,0,0,17
Olympiacos vs Maccabi,Maccabi,G. Lundberg,25:23,10,1/2,2/4,2/3,2,7,2,3,13
Olympiacos vs Maccabi,Maccabi,O. Brissett,24:22,11,3/4,1/6,2/2,3,4,2,2,8
Olympiacos vs Maccabi,Maccabi,R. Sorkin,23:50,21,6/9,2/4,3/3,4,2,1,1,19
Olympiacos vs Maccabi,Maccabi,J. Dowtin,22:44,15,2/3,3/5,2/4,2,1,2,1,12
Olympiacos vs Maccabi,Maccabi,J. III,18:37,9,0/4,3/4,0/0,0,4,1,1,5
Olympiacos vs Maccabi,Maccabi,W. Rayman,15:59,3,0/0,1/3,0/0,2,0,1,0,3
Olympiacos vs Maccabi,Maccabi,T. Leaf,15:57,2,0/3,0/0,2/2,2,1,0,0,2
Olympiacos vs Maccabi,Maccabi,M. Santos,13:40,5,0/0,1/2,2/2,1,0,2,2,1
Olympiacos vs Maccabi,Maccabi,T. Blatt,12:54,6,0/0,2/4,0/0,2,4,1,2,9
Olympiacos vs Maccabi,Maccabi,G. Lavy,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Olympiacos vs Maccabi,Olympiacos,T. Walkup,28:58,10,2/2,2/3,0/0,1,5,0,2,11
Olympiacos vs Maccabi,Olympiacos,A. Vezenkov,26:08,28,4/6,6/8,2/2,6,1,0,1,30
Olympiacos vs Maccabi,Olympiacos,E. Fournier,24:09,12,3/4,2/5,0/0,1,9,1,4,13
Olympiacos vs Maccabi,Olympiacos,T. Dorsey,21:37,7,2/5,1/4,0/0,2,5,0,3,2
Olympiacos vs Maccabi,Olympiacos,N. Milutinov,21:05,13,4/7,0/0,5/7,9,0,0,0,17
Olympiacos vs Maccabi,Olympiacos,K. Papanikolaou,16:48,0,0/1,0/3,0/0,1,3,1,0,0
Olympiacos vs Maccabi,Olympiacos,T. Ward,16:36,8,4/7,0/1,0/0,3,1,0,2,4
Olympiacos vs Maccabi,Olympiacos,A. Peters,15:27,9,2/2,0/0,5/6,4,1,1,2,9
Olympiacos vs Maccabi,Olympiacos,F. Ntilikina,11:02,0,0/1,0/2,0/0,1,3,0,0,1
Olympiacos vs Maccabi,Olympiacos,D. Hall,10:00,7,3/3,0/0,1/1,4,0,0,0,9
Olympiacos vs Maccabi,Olympiacos,T. Jones,7:20,6,3/5,0/0,0/0,3,1,2,2,7
Olympiacos vs Maccabi,Olympiacos,S. McKissic,0:50,0,0/0,0/0,0/0,0,0,0,0,0
