Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Olympiacos vs Monaco,Monaco,A. Diallo,35:17,27,8/9,3/4,2/2,3,3,2,0,31
Olympiacos vs Monaco,Monaco,M. James,32:14,23,5/7,3/6,4/4,4,10,0,3,26
Olympiacos vs Monaco,Monaco,É. Okobo,27:26,10,2/9,2/3,0/0,1,3,0,2,1
Olympiacos vs Monaco,Monaco,J. Blossomgame,25:00,9,2/3,1/2,2/2,2,1,0,0,9
Olympiacos vs Monaco,Monaco,K. Hayes,20:01,2,1/2,0/0,0/1,1,1,2,0,2
Olympiacos vs Monaco,Monaco,D. Theis,19:44,9,4/5,0/3,1/2,7,1,0,0,7
Olympiacos vs Monaco,Monaco,M. Strazel,16:54,5,0/0,1/3,2/5,3,1,0,0,0
Olympiacos vs Monaco,Monaco,N. Mirotic,15:15,3,0/0,0/2,3/4,3,1,1,1,1
Olympiacos vs Monaco,Monaco,N. Nedovic,5:52,4,1/1,0/1,2/2,0,0,0,1,0
Olympiacos vs Monaco,Monaco,T. Tarpey,2:17,0,0/0,0/0,0/0,0,0,0,0,-1
Olympiacos vs Monaco,Monaco,D. Michineau,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Olympiacos vs Monaco,Monaco,J. Begarin,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Olympiacos vs Monaco,Olympiacos,A. Vezenkov,33:20,17,1/3,2/2,9/11,6,0,0,3,13
Olympiacos vs Monaco,Olympiacos,T. Dorsey,32:53,23,8/10,1/4,4/6,3,5,0,1,20
Olympiacos vs Monaco,Olympiacos,T. Walkup,25:09,5,2/4,0/3,1/2,3,2,0,2,-1
Olympiacos vs Monaco,Olympiacos,E. Fournier,22:12,2,1/1,0/6,0/0,2,1,0,0,-3
Olympiacos vs Monaco,Olympiacos,T. Ward,22:00,4,0/2,0/3,4/4,5,2,1,1,4
Olympiacos vs Monaco,Olympiacos,D. Hall,20:25,11,4/4,0/0,3/3,5,2,1,1,14
Olympiacos vs Monaco,Olympiacos,N. Milutinov,19:32,14,5/6,0/0,4/4,8,2,0,2,21
Olympiacos vs Monaco,Olympiacos,F. Ntilikina,10:39,2,1/2,0/0,0/0,0,1,0,1,-2
Olympiacos vs Monaco,Olympiacos,S. McKissic,7:10,5,2/2,0/1,1/2,2,1,0,1,5
Olympiacos vs Monaco,Olympiacos,A. Peters,5:44,1,0/1,0/1,1/2,0,0,1,0,-2
Olympiacos vs Monaco,Olympiacos,K. Papanikolaou,0:56,3,0/0,1/2,0/0,0,0,0,0,2
Olympiacos vs Monaco,Olympiacos,S. Lee,0:00,0,0/0,0/0,0/0,0,0,0,0,0
