Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Olympiacos vs Panathinaikos,Panathinaikos,K. Nunn,32:53,20,5/7,3/6,1/1,0,6,0,6,13
Olympiacos vs Panathinaikos,Panathinaikos,C. Osman,32:38,14,2/3,2/6,4/4,3,2,1,1,11
Olympiacos vs Panathinaikos,Panathinaikos,J. Grant,28:18,9,2/4,0/1,5/6,1,4,1,0,8
Olympiacos vs Panathinaikos,Panathinaikos,J. Hernangómez,23:10,14,4/4,2/4,0/0,7,0,1,2,15
Olympiacos vs Panathinaikos,Panathinaikos,N. Hayes,22:42,12,3/6,1/1,3/3,3,0,3,3,8
Olympiacos vs Panathinaikos,Panathinaikos,R. Holmes,16:34,4,2/3,0/0,0/1,3,1,0,1,1
Olympiacos vs Panathinaikos,Panathinaikos,D. Mitoglou,16:01,3,0/1,1/3,0/0,2,1,1,0,3
Olympiacos vs Panathinaikos,Panathinaikos,K. Sloukas,15:20,2,0/1,0/3,2/2,0,3,0,2,-2
Olympiacos vs Panathinaikos,Panathinaikos,N. Rogkavopoulos,5:11,2,1/2,0/0,0/0,3,0,0,0,3
Olympiacos vs Panathinaikos,Panathinaikos,T. Shorts,3:51,0,0/1,0/1,0/0,1,0,0,1,-3
Olympiacos vs Panathinaikos,Panathinaikos,K. Faried,3:22,0,0/0,0/0,0/0,0,0,0,1,-1
Olympiacos vs Panathinaikos,Panathinaikos,V. Toliopoulos,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Olympiacos vs Panathinaikos,Olympiacos,E. Fournier,24:32,5,1/2,1/7,0/0,2,3,2,0,3
Olympiacos vs Panathinaikos,Olympiacos,N. Milutinov,22:59,12,4/5,0/0,4/4,4,1,0,2,15
Olympiacos vs Panathinaikos,Olympiacos,F. Ntilikina,21:51,10,1/1,2/5,2/2,1,0,2,1,9
Olympiacos vs Panathinaikos,Olympiacos,T. Ward,21:36,10,5/5,0/1,0/0,3,3,1,3,9
Olympiacos vs Panathinaikos,Olympiacos,T. Dorsey,20:12,13,1/3,3/4,2/3,4,4,1,1,13
Olympiacos vs Panathinaikos,Olympiacos,S. McKissic,18:56,8,2/2,0/1,4/6,2,4,2,0,10
Olympiacos vs Panathinaikos,Olympiacos,A. Peters,18:24,8,1/2,1/4,3/5,3,1,0,1,4
Olympiacos vs Panathinaikos,Olympiacos,T. Jones,17:01,2,1/4,0/0,0/0,6,3,1,2,5
Olympiacos vs Panathinaikos,Olympiacos,K. Papanikolaou,16:09,8,1/1,2/5,0/1,2,1,0,0,4
Olympiacos vs Panathinaikos,Olympiacos,D. Hall,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Olympiacos vs Panathinaikos,Olympiacos,G. Larentzakis,0:00,0,0/0,0/0,0/0,0,0,0,0,0
