Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Olympiacos vs Paris,Paris,J. Robinson,28:00,35,4/7,7/10,6/6,2,4,2,5,29
Olympiacos vs Paris,Paris,Y. Ouattara,26:32,13,3/4,2/7,1/1,3,2,0,0,12
Olympiacos vs Paris,Paris,J. Morgan,23:26,13,2/4,3/5,0/0,1,5,0,1,13
Olympiacos vs Paris,Paris,S. Herrera,19:34,0,0/1,0/5,0/0,0,1,0,1,-8
Olympiacos vs Paris,Paris,D. Willis,17:29,3,0/1,1/2,0/0,6,1,1,0,6
Olympiacos vs Paris,Paris,M. Faye,16:18,9,4/4,0/0,1/2,8,1,0,3,12
Olympiacos vs Paris,Paris,A. M'Baye,15:06,3,0/2,1/2,0/0,1,2,0,1,-1
Olympiacos vs Paris,Paris,J. Rhoden,13:23,4,0/3,1/3,1/2,5,1,0,4,-5
Olympiacos vs Paris,Paris,D. Hommes,13:15,0,0/0,0/3,0/0,1,1,1,0,0
Olympiacos vs Paris,Paris,A. Dokossi,12:16,2,1/1,0/0,0/0,4,1,2,2,4
Olympiacos vs Paris,Paris,I. Bako,11:26,4,2/2,0/0,0/0,2,0,1,1,5
Olympiacos vs Paris,Paris,J. Ayayi,3:15,0,0/0,0/0,0/0,0,1,0,0,0
Olympiacos vs Paris,Olympiacos,E. Fournier,27:29,18,2/3,4/9,2/4,0,3,2,2,12
Olympiacos vs Paris,Olympiacos,A. Vezenkov,27:19,13,2/8,2/7,3/3,4,1,1,1,5
Olympiacos vs Paris,Olympiacos,T. Dorsey,22:54,12,2/3,2/6,2/3,0,3,3,4,6
Olympiacos vs Paris,Olympiacos,T. Ward,21:59,12,1/5,2/3,4/6,5,4,4,1,13
Olympiacos vs Paris,Olympiacos,T. Walkup,20:33,7,0/0,1/3,4/4,2,6,1,0,10
Olympiacos vs Paris,Olympiacos,N. Milutinov,20:00,7,2/4,0/0,3/5,9,3,0,1,14
Olympiacos vs Paris,Olympiacos,D. Hall,19:50,8,4/7,0/0,0/0,7,1,0,0,13
Olympiacos vs Paris,Olympiacos,F. Ntilikina,19:27,6,1/3,1/1,1/1,2,0,0,1,4
Olympiacos vs Paris,Olympiacos,A. Peters,12:41,9,2/4,0/1,5/5,1,3,1,2,7
Olympiacos vs Paris,Olympiacos,K. Papanikolaou,7:48,6,0/0,2/2,0/0,1,0,0,0,6
Olympiacos vs Paris,Olympiacos,K. Antetokounmpo,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Olympiacos vs Paris,Olympiacos,S. Lee,0:00,0,0/0,0/0,0/0,0,0,0,0,0
