Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Olympiacos vs Partizan,Partizan,I. Bonga,33:00,5,1/3,1/2,0/0,7,0,1,1,6
Olympiacos vs Partizan,Partizan,S. Brown,31:50,7,2/6,1/3,0/0,1,1,1,0,2
Olympiacos vs Partizan,Partizan,D. Jr.,29:15,20,7/8,2/6,0/0,2,3,2,5,13
Olympiacos vs Partizan,Partizan,M. Milton,28:12,10,5/8,0/0,0/0,0,5,3,4,7
Olympiacos vs Partizan,Partizan,N. Calathes,26:33,0,0/2,0/3,0/0,5,3,2,2,-1
Olympiacos vs Partizan,Partizan,T. Jones,25:30,17,8/9,0/0,1/2,7,1,2,2,20
Olympiacos vs Partizan,Partizan,B. Fernando,17:30,9,3/6,0/0,3/3,2,1,1,1,9
Olympiacos vs Partizan,Partizan,D. Osetkowski,8:10,3,0/2,1/3,0/0,2,2,0,0,2
Olympiacos vs Partizan,Partizan,A. Pokusevski,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Olympiacos vs Partizan,Partizan,A. Lakić,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Olympiacos vs Partizan,Partizan,M. Bosnjakovic,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Olympiacos vs Partizan,Olympiacos,A. Vezenkov,32:40,14,2/4,2/3,4/4,4,2,0,0,15
Olympiacos vs Partizan,Olympiacos,T. Dorsey,31:55,11,1/4,1/7,6/8,2,2,0,4,-1
Olympiacos vs Partizan,Olympiacos,T. Walkup,23:55,15,3/4,3/6,0/0,5,4,1,4,17
Olympiacos vs Partizan,Olympiacos,N. Milutinov,21:05,8,2/4,0/0,4/5,10,3,1,1,18
Olympiacos vs Partizan,Olympiacos,S. McKissic,19:03,6,2/3,0/0,2/4,2,1,4,1,6
Olympiacos vs Partizan,Olympiacos,D. Hall,18:55,7,2/6,0/0,3/4,5,1,1,1,7
Olympiacos vs Partizan,Olympiacos,F. Ntilikina,16:05,9,3/6,1/2,0/0,5,1,1,2,9
Olympiacos vs Partizan,Olympiacos,T. Ward,14:21,4,1/1,0/1,2/3,0,2,0,1,0
Olympiacos vs Partizan,Olympiacos,E. Fournier,8:05,3,0/1,1/2,0/0,0,0,0,2,-1
Olympiacos vs Partizan,Olympiacos,A. Peters,7:20,3,0/1,0/0,3/3,0,1,0,0,3
Olympiacos vs Partizan,Olympiacos,K. Papanikolaou,6:36,0,0/0,0/1,0/0,2,0,0,1,-1
Olympiacos vs Partizan,Olympiacos,S. Lee,0:00,0,0/0,0/0,0/0,0,0,0,0,0
