Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Olympiacos vs Real,Real,E. Tavares,30:21,15,6/8,0/0,3/4,9,0,1,2,18
Olympiacos vs Real,Real,F. Campazzo,27:38,14,3/5,2/7,2/3,2,4,0,2,7
Olympiacos vs Real,Real,T. Lyles,25:07,22,2/5,6/8,0/0,5,3,0,1,22
Olympiacos vs Real,Real,G. Deck,24:25,9,3/5,0/3,3/3,5,1,1,1,9
Olympiacos vs Real,Real,M. Hezonja,21:19,6,3/3,0/5,0/0,2,1,0,4,-3
Olympiacos vs Real,Real,A. Feliz,19:47,13,3/6,2/5,1/1,6,4,0,1,13
Olympiacos vs Real,Real,T. Maledon,16:00,2,1/4,0/0,0/0,2,4,0,2,3
Olympiacos vs Real,Real,C. Okeke,11:39,0,0/0,0/1,0/0,2,2,0,1,1
Olympiacos vs Real,Real,A. Abalde,10:07,3,0/0,1/3,0/0,0,0,0,0,0
Olympiacos vs Real,Real,U. Garuba,5:58,2,1/1,0/0,0/2,0,0,2,0,-3
Olympiacos vs Real,Real,S. Llull,4:42,2,1/2,0/2,0/0,0,0,0,0,-2
Olympiacos vs Real,Real,A. Len,2:57,0,0/1,0/0,0/0,0,0,0,0,-1
Olympiacos vs Real,Olympiacos,T. Dorsey,28:42,37,3/4,7/12,10/11,1,5,2,2,35
Olympiacos vs Real,Olympiacos,A. Vezenkov,26:41,26,6/7,3/5,5/5,9,1,2,2,33
Olympiacos vs Real,Olympiacos,N. Milutinov,22:15,5,1/2,0/0,3/4,6,1,0,0,10
Olympiacos vs Real,Olympiacos,T. Walkup,18:09,3,0/0,1/4,0/0,3,3,1,1,4
Olympiacos vs Real,Olympiacos,D. Hall,17:45,9,3/4,0/0,3/4,3,0,2,0,11
Olympiacos vs Real,Olympiacos,S. McKissic,16:32,10,3/4,1/3,1/1,2,1,1,0,9
Olympiacos vs Real,Olympiacos,K. Papanikolaou,15:03,3,0/0,1/4,0/0,1,3,1,0,2
Olympiacos vs Real,Olympiacos,T. Ward,14:25,4,0/0,1/1,1/2,1,4,0,0,6
Olympiacos vs Real,Olympiacos,A. Peters,13:19,3,0/0,1/3,0/0,1,2,0,0,4
Olympiacos vs Real,Olympiacos,F. Ntilikina,8:58,0,0/0,0/1,0/0,0,1,0,1,-5
Olympiacos vs Real,Olympiacos,E. Fournier,5:18,0,0/0,0/1,0/0,0,0,0,1,-2
