Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Olympiacos vs Valencia,Valencia,D. Thompson,24:31,12,1/1,3/4,1/2,1,6,2,3,15
Olympiacos vs Valencia,Valencia,J. Montero,23:00,13,2/5,1/5,6/6,3,8,0,1,16
Olympiacos vs Valencia,Valencia,K. Taylor,20:56,7,2/3,1/1,0/0,4,5,0,2,12
Olympiacos vs Valencia,Valencia,B. Key,20:22,3,1/4,0/0,1/2,5,1,3,1,4
Olympiacos vs Valencia,Valencia,J. Pradilla,19:46,10,2/6,1/1,3/3,3,1,0,0,10
Olympiacos vs Valencia,Valencia,J. Puerto,19:04,13,2/2,3/4,0/0,2,1,0,0,13
Olympiacos vs Valencia,Valencia,N. Reuvers,18:54,21,5/6,3/7,2/2,2,0,1,0,16
Olympiacos vs Valencia,Valencia,O. Moore,15:29,4,2/5,0/2,0/0,5,5,0,1,7
Olympiacos vs Valencia,Valencia,B. Badio,15:00,0,0/1,0/0,0/0,3,2,0,3,-3
Olympiacos vs Valencia,Valencia,M. Costello,14:07,14,1/2,4/8,0/1,2,0,1,2,4
Olympiacos vs Valencia,Valencia,N. Sako,6:51,2,1/2,0/0,0/0,0,0,0,0,1
Olympiacos vs Valencia,Valencia,I. Nogues,2:00,0,0/0,0/0,0/0,0,0,0,0,-1
Olympiacos vs Valencia,Olympiacos,A. Vezenkov,32:05,24,8/13,2/6,2/4,8,3,1,2,22
Olympiacos vs Valencia,Olympiacos,E. Fournier,27:49,9,2/2,1/9,2/2,1,2,0,1,1
Olympiacos vs Valencia,Olympiacos,N. Milutinov,25:32,13,3/5,0/0,7/9,8,0,3,1,22
Olympiacos vs Valencia,Olympiacos,T. Walkup,24:56,13,3/3,2/4,1/1,1,8,1,1,17
Olympiacos vs Valencia,Olympiacos,T. Dorsey,22:10,11,2/2,2/5,1/2,2,1,0,1,8
Olympiacos vs Valencia,Olympiacos,K. Papanikolaou,20:52,6,0/0,2/3,0/0,2,4,0,2,6
Olympiacos vs Valencia,Olympiacos,F. Ntilikina,16:49,5,1/3,1/3,0/0,1,2,0,1,0
Olympiacos vs Valencia,Olympiacos,D. Hall,11:40,3,0/0,0/0,3/4,2,0,0,0,2
Olympiacos vs Valencia,Olympiacos,A. Peters,10:40,8,1/3,2/2,0/0,0,0,0,0,4
Olympiacos vs Valencia,Olympiacos,S. Lee,7:27,0,0/0,0/0,0/0,0,2,1,1,2
Olympiacos vs Valencia,Olympiacos,K. Antetokounmpo,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Olympiacos vs Valencia,Olympiacos,O. Netzipoglou,0:00,0,0/0,0/0,0/0,0,0,0,0,0
