Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Olympiacos vs Virtus,Virtus,K. Jallow,34:31,13,5/10,1/3,0/2,3,3,0,2,6
Olympiacos vs Virtus,Virtus,D. Jr,23:32,16,1/2,4/7,2/2,3,4,0,3,13
Olympiacos vs Virtus,Virtus,S. Niang,23:18,0,0/2,0/1,0/0,4,3,1,2,0
Olympiacos vs Virtus,Virtus,D. Hackett,22:52,14,1/3,3/5,3/6,2,2,0,2,4
Olympiacos vs Virtus,Virtus,C. Edwards,22:24,11,2/3,2/7,1/4,1,1,0,2,-1
Olympiacos vs Virtus,Virtus,L. Vildoza,19:36,4,2/3,0/1,0/0,2,2,1,1,5
Olympiacos vs Virtus,Virtus,N. Akele,18:13,6,3/3,0/0,0/0,2,0,0,0,7
Olympiacos vs Virtus,Virtus,A. Smailagic,16:32,7,3/4,0/4,1/2,0,3,1,0,2
Olympiacos vs Virtus,Virtus,A. Diarra,14:27,4,2/4,0/0,0/0,3,0,0,0,4
Olympiacos vs Virtus,Virtus,F. Ferrari,4:06,2,1/1,0/0,0/0,1,2,0,0,4
Olympiacos vs Virtus,Virtus,M. Accorsi,0:29,0,0/0,0/0,0/0,0,0,0,0,0
Olympiacos vs Virtus,Virtus,A. Canka,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Olympiacos vs Virtus,Olympiacos,T. Ward,26:04,7,2/3,1/5,0/0,5,6,0,2,9
Olympiacos vs Virtus,Olympiacos,A. Vezenkov,24:23,20,7/8,1/3,3/4,8,3,1,2,26
Olympiacos vs Virtus,Olympiacos,T. Walkup,21:46,5,1/1,1/2,0/0,4,8,1,1,14
Olympiacos vs Virtus,Olympiacos,T. Dorsey,20:00,18,0/1,5/9,3/3,0,1,1,0,15
Olympiacos vs Virtus,Olympiacos,S. McKissic,18:02,10,3/7,0/1,4/7,3,2,1,0,7
Olympiacos vs Virtus,Olympiacos,N. Milutinov,17:41,7,2/4,0/0,3/5,7,1,0,1,10
Olympiacos vs Virtus,Olympiacos,A. Peters,15:37,8,3/4,0/1,2/2,3,0,0,1,6
Olympiacos vs Virtus,Olympiacos,E. Fournier,14:32,11,1/1,3/4,0/0,0,2,1,0,10
Olympiacos vs Virtus,Olympiacos,T. Jones,13:59,10,4/4,0/0,2/2,3,2,1,1,14
Olympiacos vs Virtus,Olympiacos,D. Hall,8:20,5,2/2,0/0,1/2,3,0,1,0,7
Olympiacos vs Virtus,Olympiacos,O. Netzipoglou,5:28,0,0/2,0/0,0/0,2,0,0,0,-2
