Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Olympiacos vs Zalgiris,Zalgiris,M. Wright,21:44,13,5/8,0/3,3/6,10,2,0,1,14
Olympiacos vs Zalgiris,Zalgiris,D. Sleva,21:08,8,4/6,0/3,0/0,6,0,1,0,7
Olympiacos vs Zalgiris,Zalgiris,E. Ulanovas,21:00,6,2/3,0/0,2/3,4,3,0,0,8
Olympiacos vs Zalgiris,Zalgiris,I. Brazdeikis,20:34,5,1/7,1/5,0/0,2,0,1,0,-5
Olympiacos vs Zalgiris,Zalgiris,S. Francisco,20:14,15,2/4,1/3,8/10,1,3,1,3,8
Olympiacos vs Zalgiris,Zalgiris,D. Sirvydis,19:19,12,2/3,2/6,2/2,5,1,0,1,11
Olympiacos vs Zalgiris,Zalgiris,A. Tubelis,17:30,6,3/6,0/2,0/0,5,1,1,1,4
Olympiacos vs Zalgiris,Zalgiris,A. Butkevicius,16:26,2,1/2,0/1,0/0,2,1,0,2,0
Olympiacos vs Zalgiris,Zalgiris,M. Lô,13:39,5,1/2,1/5,0/0,1,2,0,1,1
Olympiacos vs Zalgiris,Zalgiris,M. Rubstavicius,11:02,3,0/2,1/3,0/0,4,0,0,1,1
Olympiacos vs Zalgiris,Zalgiris,L. Birutis,9:43,3,0/2,0/0,3/4,4,0,0,0,2
Olympiacos vs Zalgiris,Zalgiris,K. Mikalauskas,7:41,0,0/0,0/2,0/0,0,0,0,0,-4
Olympiacos vs Zalgiris,Olympiacos,A. Vezenkov,28:30,14,5/8,0/2,4/5,8,2,0,1,17
Olympiacos vs Zalgiris,Olympiacos,T. Dorsey,26:39,30,6/9,5/9,3/5,2,1,0,0,21
Olympiacos vs Zalgiris,Olympiacos,T. Walkup,21:59,9,2/5,1/2,2/4,2,4,0,1,6
Olympiacos vs Zalgiris,Olympiacos,N. Milutinov,20:27,16,5/6,0/0,6/7,8,4,1,1,25
Olympiacos vs Zalgiris,Olympiacos,D. Hall,19:22,8,4/5,0/0,0/0,9,0,0,0,15
Olympiacos vs Zalgiris,Olympiacos,E. Fournier,19:20,5,0/2,1/2,2/2,1,0,1,2,-2
Olympiacos vs Zalgiris,Olympiacos,A. Peters,17:50,0,0/0,0/2,0/0,4,4,1,1,4
Olympiacos vs Zalgiris,Olympiacos,T. Ward,17:43,4,1/2,0/3,2/2,4,1,1,2,3
Olympiacos vs Zalgiris,Olympiacos,S. McKissic,15:14,2,1/3,0/1,0/2,0,2,0,1,-4
Olympiacos vs Zalgiris,Olympiacos,S. Lee,6:00,7,2/2,0/1,3/3,1,0,0,0,6
Olympiacos vs Zalgiris,Olympiacos,K. Papanikolaou,4:55,0,0/0,0/0,0/0,0,0,0,0,0
Olympiacos vs Zalgiris,Olympiacos,K. Evans,2:01,0,0/0,0/0,0/0,0,0,0,0,0
