Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Olympiacos vs Zvezda,Zvezda,C. Miller-McIntyre,30:24,11,4/5,1/6,0/0,3,8,0,2,13
Olympiacos vs Zvezda,Zvezda,J. Nwora,30:08,21,7/13,2/6,1/1,6,2,3,2,16
Olympiacos vs Zvezda,Zvezda,C. Moneke,29:30,9,2/3,1/2,2/4,8,0,0,2,10
Olympiacos vs Zvezda,Zvezda,S. Ojeleye,24:27,2,1/2,0/0,0/0,2,0,2,1,2
Olympiacos vs Zvezda,Zvezda,J. Butler,19:42,15,3/8,1/7,6/8,3,2,0,0,4
Olympiacos vs Zvezda,Zvezda,N. Kalinic,17:38,6,0/2,2/2,0/0,2,2,0,1,3
Olympiacos vs Zvezda,Zvezda,J. Bolomboy,13:26,9,3/4,1/1,0/1,3,0,0,1,7
Olympiacos vs Zvezda,Zvezda,D. Motiejūnas,13:07,9,3/3,0/1,3/5,2,1,0,1,7
Olympiacos vs Zvezda,Zvezda,E. Izundu,12:02,4,2/2,0/0,0/0,3,0,0,0,5
Olympiacos vs Zvezda,Zvezda,Y. Santos,9:36,0,0/0,0/1,0/0,2,3,0,2,0
Olympiacos vs Zvezda,Zvezda,D. Davidovac,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Olympiacos vs Zvezda,Zvezda,S. Miljenovic,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Olympiacos vs Zvezda,Olympiacos,A. Vezenkov,32:31,23,4/8,3/6,6/9,8,1,1,2,20
Olympiacos vs Zvezda,Olympiacos,T. Walkup,30:41,5,0/0,1/2,2/2,3,10,1,2,15
Olympiacos vs Zvezda,Olympiacos,T. Dorsey,24:18,17,1/3,4/9,3/4,0,2,1,3,7
Olympiacos vs Zvezda,Olympiacos,E. Fournier,22:32,18,2/4,4/10,2/2,3,0,0,1,9
Olympiacos vs Zvezda,Olympiacos,T. Jones,20:47,4,1/1,0/0,2/2,3,1,1,2,5
Olympiacos vs Zvezda,Olympiacos,T. Ward,17:28,7,3/4,0/3,1/1,2,2,0,1,3
Olympiacos vs Zvezda,Olympiacos,S. McKissic,14:28,5,1/1,1/1,0/2,0,3,0,1,3
Olympiacos vs Zvezda,Olympiacos,N. Milutinov,13:09,6,2/3,0/0,2/3,4,1,0,1,6
Olympiacos vs Zvezda,Olympiacos,F. Ntilikina,10:33,3,0/0,1/1,0/0,1,2,1,0,5
Olympiacos vs Zvezda,Olympiacos,A. Peters,7:29,2,1/1,0/3,0/0,1,1,1,0,1
Olympiacos vs Zvezda,Olympiacos,D. Hall,6:04,2,1/1,0/0,0/0,1,0,1,1,3
Olympiacos vs Zvezda,Olympiacos,O. Netzipoglou,0:00,0,0/0,0/0,0/0,0,0,0,0,0
