Name,Team,PTS,REB,AST,STL,TO,PIR,2FG,3FG,FT,MIN
T. Walkup,Olympiacos Piraeus,2,2,4,3,4,11,1/5,0/2,0/0,28:47
T. Ward,Olympiacos Piraeus,2,1,2,0,3,-2,1/4,0/0,0/0,13:15
S. Lee,Olympiacos Piraeus,4,1,2,0,2,2,0/1,1/1,1/2,11:13
S. Vezenkov,Olympiacos Piraeus,29,15,0,0,3,28,6/7,5/6,2/2,33:45
K. Papanikolaou,Olympiacos Piraeus,3,6,4,2,1,3,0/0,1/5,0/0,19:23
O. Netzipoglou,Olympiacos Piraeus,0,0,0,0,0,0,0/0,0/0,0/0,00:00
T. Dorsey,Olympiacos Piraeus,16,7,4,2,1,12,2/4,4/8,0/0,29:23
A. Peters,Olympiacos Piraeus,2,3,0,0,0,2,1/1,0/1,0/0,06:15
N. Milutinov,Olympiacos Piraeus,7,9,3,0,2,16,3/4,0/0,1/1,25:28
K. Antetokounmpo,Olympiacos Piraeus,0,0,0,0,0,0,0/0,0/0,0/0,00:00
D. Hall,Olympiacos Piraeus,2,3,2,0,1,5,0/1,0/0,2/4,14:32
E. Fournier,Olympiacos Piraeus,13,3,4,1,1,8,1/2,3/9,2/2,16:36
C. Miller-McIntyre,Crvena Zvezda Belgrade,10,5,9,1,2,9,2/4,2/7,0/0,24:51
U. Plavsic,Crvena Zvezda Belgrade,0,0,0,0,2,-2,0/0,0/0,0/0,03:15
D. Graham,Crvena Zvezda Belgrade,9,4,4,0,1,15,0/0,3/5,0/0,15:09
J. Butler,Crvena Zvezda Belgrade,5,4,2,0,1,4,1/3,1/3,0/0,14:07
N. Kalinic,Crvena Zvezda Belgrade,8,3,3,0,3,5,1/2,2/6,0/0,26:21
O. Dobric,Crvena Zvezda Belgrade,2,1,1,0,2,1,1/1,0/2,0/0,13:39
D. Motiejunas,Crvena Zvezda Belgrade,8,3,2,1,2,14,1/2,2/2,0/0,16:24
S. Nwora,Crvena Zvezda Belgrade,23,5,2,0,0,23,6/9,3/7,2/2,25:53
S. Ojeleye,Crvena Zvezda Belgrade,15,7,1,0,2,14,2/4,3/3,2/2,25:03
C. Moneke,Crvena Zvezda Belgrade,11,17,3,3,4,20,5/6,0/0,1/8,35:18
Y. Dos Santos,Crvena Zvezda Belgrade,0,0,0,0,0,0,0/0,0/0,0/0,00:00
