Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Panathinaikos vs Olympiacos,Olympiacos,A. Vezenkov,33:44,24,4/7,4/8,4/4,9,1,0,2,24
Panathinaikos vs Olympiacos,Olympiacos,T. Dorsey,28:24,21,4/5,3/8,4/4,4,3,1,2,17
Panathinaikos vs Olympiacos,Olympiacos,N. Milutinov,25:58,10,4/4,0/0,2/3,9,3,1,0,23
Panathinaikos vs Olympiacos,Olympiacos,T. Walkup,25:18,3,1/2,0/1,1/2,4,5,0,2,4
Panathinaikos vs Olympiacos,Olympiacos,E. Fournier,21:48,2,0/1,0/4,2/4,0,3,1,2,-5
Panathinaikos vs Olympiacos,Olympiacos,K. Papanikolaou,18:04,8,1/2,2/7,0/0,2,2,0,1,4
Panathinaikos vs Olympiacos,Olympiacos,M. Morris,17:25,8,1/3,0/2,6/9,2,3,1,1,4
Panathinaikos vs Olympiacos,Olympiacos,D. Hall,14:02,8,3/4,0/0,2/2,7,1,0,1,14
Panathinaikos vs Olympiacos,Olympiacos,F. Ntilikina,8:53,3,0/1,1/1,0/0,0,0,0,0,0
Panathinaikos vs Olympiacos,Olympiacos,A. Peters,6:16,0,0/1,0/0,0/0,1,0,0,0,0
Panathinaikos vs Olympiacos,Olympiacos,G. Larentzakis,0:08,0,0/0,0/0,0/0,0,0,0,0,0
Panathinaikos vs Olympiacos,Olympiacos,K. Antetokounmpo,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Panathinaikos vs Olympiacos,Panathinaikos,K. Nunn,35:50,32,8/8,3/9,7/7,5,6,2,2,34
Panathinaikos vs Olympiacos,Panathinaikos,J. Grant,26:55,7,0/1,2/2,1/2,2,2,1,0,8
Panathinaikos vs Olympiacos,Panathinaikos,C. Osman,24:06,13,4/6,0/6,5/5,3,2,0,1,8
Panathinaikos vs Olympiacos,Panathinaikos,N. Rogkavopoulos,21:00,10,2/3,2/5,0/0,2,0,0,0,5
Panathinaikos vs Olympiacos,Panathinaikos,J. Hernangómez,20:33,0,0/0,0/3,0/0,3,0,0,0,0
Panathinaikos vs Olympiacos,Panathinaikos,K. Faried,19:17,9,4/5,0/0,1/1,5,0,0,1,10
Panathinaikos vs Olympiacos,Panathinaikos,K. Sloukas,18:44,5,1/6,0/1,3/3,4,2,1,1,0
Panathinaikos vs Olympiacos,Panathinaikos,O. Yurtseven,17:10,4,2/4,0/0,0/0,3,1,1,1,5
Panathinaikos vs Olympiacos,Panathinaikos,D. Mitoglou,6:27,0,0/2,0/1,0/0,1,0,0,2,-8
Panathinaikos vs Olympiacos,Panathinaikos,T. Shorts,5:21,2,1/2,0/0,0/0,0,2,0,2,-1
Panathinaikos vs Olympiacos,Panathinaikos,P. Kalaitzakis,4:37,0,0/0,0/1,0/0,0,0,0,1,-2
Panathinaikos vs Olympiacos,Panathinaikos,R. Holmes,0:00,0,0/0,0/0,0/0,0,0,0,0,0
