Name,Team,PTS,REB,AST,STL,TO,PIR,2FG,3FG,FT,MIN
T. Shorts, Panathinaikos Athens,5,2,1,0,2,-9,1/5,1/2,0/2,14:51
P. Kalaitzakis, Panathinaikos Athens,0,2,0,0,0,-1,0/0,0/2,0/0,05:21
K. Sloukas, Panathinaikos Athens,7,3,10,2,1,20,1/1,1/2,2/2,18:41
V. Rogkavopoulos, Panathinaikos Athens,13,4,0,0,1,12,5/5,1/3,0/0,19:23
A. Samodurov, Panathinaikos Athens,3,0,0,1,1,2,1/2,0/0,1/1,08:56
J. Grant, Panathinaikos Athens,8,1,3,0,1,5,4/7,0/0,0/0,28:30
G. Kouzeloglou, Panathinaikos Athens,0,0,0,0,0,-4,0/0,0/0,0/0,03:17
K. Nunn, Panathinaikos Athens,26,11,2,1,0,39,4/5,3/4,9/12,30:56
K. Faried, Panathinaikos Athens,12,11,3,1,1,11,6/10,0/0,0/1,22:54
M. Grigonis, Panathinaikos Athens,0,0,0,0,0,-1,0/0,0/2,0/0,03:35
J. Hernangomez, Panathinaikos Athens,8,15,2,0,2,22,3/4,0/3,2/2,21:07
K. Mitoglou, Panathinaikos Athens,9,6,3,1,3,10,2/4,1/3,2/2,22:29
S. Milton,Partizan Belgrade,9,2,5,0,1,6,3/7,0/2,3/4,27:54
M. Muurinen,Partizan Belgrade,0,0,0,0,0,-2,0/0,0/0,0/0,01:08
D. Washington,Partizan Belgrade,8,3,0,1,0,12,2/2,0/3,4/4,16:09
D. Osetkowski,Partizan Belgrade,4,2,0,0,0,6,1/2,0/1,2/2,10:00
V. Marinkovic,Partizan Belgrade,4,1,0,0,0,3,1/1,0/2,2/2,23:26
A. Pokusevski,Partizan Belgrade,4,2,1,0,0,3,2/2,0/0,0/0,13:10
S. Brown,Partizan Belgrade,16,3,2,1,2,11,3/7,3/6,1/1,27:06
I. Bonga,Partizan Belgrade,6,4,1,0,0,9,3/5,0/1,0/0,20:53
J. Parker,Partizan Belgrade,7,4,1,0,0,-4,1/3,1/5,2/2,21:49
B. Fernando,Partizan Belgrade,9,3,2,0,0,11,4/7,0/0,1/1,14:09
N. Calathes,Partizan Belgrade,0,1,0,0,0,-1,0/0,0/1,0/0,08:25
T. Jones,Partizan Belgrade,1,3,1,1,3,3,1/2,0/0,0/0,15:51
