Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Paris vs Olympiacos,Olympiacos,A. Peters,27:52,18,0/0,4/7,6/8,4,4,1,2,16
Paris vs Olympiacos,Olympiacos,T. Dorsey,27:36,24,4/7,4/6,4/4,1,5,1,1,23
Paris vs Olympiacos,Olympiacos,K. Papanikolaou,18:56,0,0/0,0/2,0/0,3,2,2,3,1
Paris vs Olympiacos,Olympiacos,E. Fournier,18:34,17,2/6,3/5,4/4,2,2,0,0,15
Paris vs Olympiacos,Olympiacos,N. Milutinov,18:06,9,4/7,0/0,1/2,5,1,3,0,14
Paris vs Olympiacos,Olympiacos,F. Ntilikina,17:43,6,0/1,2/2,0/0,2,2,0,2,3
Paris vs Olympiacos,Olympiacos,T. Ward,15:52,5,1/1,1/3,0/0,2,1,1,2,4
Paris vs Olympiacos,Olympiacos,D. Hall,14:22,10,3/3,0/0,4/4,4,0,0,0,13
Paris vs Olympiacos,Olympiacos,S. McKissic,8:10,3,0/0,1/1,0/0,0,3,0,0,6
Paris vs Olympiacos,Olympiacos,T. Jones,7:32,2,0/2,0/0,2/2,5,0,0,2,0
Paris vs Olympiacos,Olympiacos,M. Morris,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Paris vs Olympiacos,Paris,A. Dokossi,23:12,4,2/2,0/0,0/0,7,0,4,1,13
Paris vs Olympiacos,Paris,N. Hifi,22:11,15,2/3,2/5,5/6,2,4,1,1,16
Paris vs Olympiacos,Paris,J. Rhoden,21:46,14,1/2,4/7,0/0,4,0,0,2,12
Paris vs Olympiacos,Paris,L. Stevens,21:19,6,1/4,1/3,1/2,2,2,0,1,2
Paris vs Olympiacos,Paris,J. Robinson,20:08,18,4/5,2/4,4/4,1,9,1,3,22
Paris vs Olympiacos,Paris,L. Cavaliere,17:12,4,2/3,0/0,0/0,4,0,1,1,4
Paris vs Olympiacos,Paris,D. Hommes,13:45,11,0/0,3/8,2/2,1,2,0,0,6
Paris vs Olympiacos,Paris,S. Herrera,12:40,6,0/1,1/5,3/3,0,2,1,0,2
Paris vs Olympiacos,Paris,J. Morgan,12:29,3,0/0,1/3,0/0,1,2,0,0,2
Paris vs Olympiacos,Paris,D. Willis,12:05,2,1/1,0/4,0/2,3,0,0,0,-4
Paris vs Olympiacos,Paris,M. Faye,11:56,2,1/2,0/0,0/0,0,0,0,2,-5
Paris vs Olympiacos,Paris,Y. Ouattara,11:17,2,1/2,0/0,0/0,2,1,1,0,4
