Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Partizan vs Olympiacos,Olympiacos,A. Vezenkov,28:17,25,6/8,3/4,4/4,7,1,0,0,30
Partizan vs Olympiacos,Olympiacos,K. Papanikolaou,23:28,3,0/2,1/6,0/0,5,2,0,1,1
Partizan vs Olympiacos,Olympiacos,T. Walkup,21:38,12,0/1,4/4,0/0,1,7,0,0,18
Partizan vs Olympiacos,Olympiacos,N. Milutinov,21:05,12,5/7,0/0,2/3,7,1,1,0,17
Partizan vs Olympiacos,Olympiacos,T. Ward,20:00,5,1/3,1/2,0/0,1,3,0,1,3
Partizan vs Olympiacos,Olympiacos,D. Hall,18:55,12,6/6,0/0,0/1,7,1,2,0,20
Partizan vs Olympiacos,Olympiacos,T. Dorsey,17:06,12,4/5,0/4,4/7,5,2,1,4,6
Partizan vs Olympiacos,Olympiacos,E. Fournier,16:41,3,0/1,1/4,0/0,2,4,0,1,3
Partizan vs Olympiacos,Olympiacos,F. Ntilikina,14:54,6,0/0,2/5,0/0,2,2,0,1,3
Partizan vs Olympiacos,Olympiacos,A. Peters,11:43,12,0/1,4/4,0/0,5,1,1,0,16
Partizan vs Olympiacos,Olympiacos,G. Larentzakis,6:13,2,1/1,0/3,0/0,0,4,0,0,3
Partizan vs Olympiacos,Olympiacos,S. McKissic,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Partizan vs Olympiacos,Partizan,D. Jr.,27:26,28,7/9,3/6,5/7,0,3,0,3,18
Partizan vs Olympiacos,Partizan,C. Payne,23:57,5,1/5,0/7,3/4,3,3,2,1,-2
Partizan vs Olympiacos,Partizan,I. Bonga,23:52,7,1/2,1/3,2/2,4,2,1,0,9
Partizan vs Olympiacos,Partizan,T. Jekiri,22:15,4,2/6,0/0,0/0,10,0,0,1,8
Partizan vs Olympiacos,Partizan,D. Osetkowski,20:20,2,1/2,0/2,0/0,1,0,1,0,-1
Partizan vs Olympiacos,Partizan,V. Marinković,18:44,7,1/1,1/4,2/2,1,1,1,1,2
Partizan vs Olympiacos,Partizan,A. Pokusevski,18:19,0,0/0,0/4,0/0,1,0,0,0,-4
Partizan vs Olympiacos,Partizan,B. Fernando,17:45,11,2/5,1/1,4/4,5,1,0,2,11
Partizan vs Olympiacos,Partizan,N. Calathes,14:12,0,0/2,0/2,0/0,2,3,0,1,-2
Partizan vs Olympiacos,Partizan,A. Lakić,13:10,2,1/3,0/0,0/0,2,0,1,0,1
Partizan vs Olympiacos,Partizan,M. Muurinen,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Partizan vs Olympiacos,Partizan,M. Bosnjakovic,0:00,0,0/0,0/0,0/0,0,0,0,0,0
