Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Real vs Olympiacos,Olympiacos,T. Dorsey,30:51,20,2/5,4/8,4/5,1,1,3,1,13
Real vs Olympiacos,Olympiacos,A. Vezenkov,28:54,13,2/8,1/5,6/6,9,1,0,0,12
Real vs Olympiacos,Olympiacos,N. Milutinov,28:00,10,5/7,0/0,0/0,9,0,1,3,16
Real vs Olympiacos,Olympiacos,E. Fournier,26:32,14,2/6,2/6,4/5,3,5,1,5,7
Real vs Olympiacos,Olympiacos,T. Walkup,23:16,4,1/2,0/2,2/2,2,2,0,0,1
Real vs Olympiacos,Olympiacos,K. Papanikolaou,17:01,3,0/0,1/3,0/2,1,2,0,1,0
Real vs Olympiacos,Olympiacos,S. Lee,16:44,4,1/3,0/2,2/2,1,2,1,2,-1
Real vs Olympiacos,Olympiacos,T. Ward,10:07,7,2/2,0/1,3/4,3,2,0,0,8
Real vs Olympiacos,Olympiacos,A. Peters,6:35,0,0/0,0/0,0/0,2,1,0,0,1
Real vs Olympiacos,Olympiacos,K. Antetokounmpo,6:04,2,1/1,0/0,0/2,1,0,0,0,-1
Real vs Olympiacos,Olympiacos,D. Hall,5:56,0,0/0,0/0,0/0,1,0,0,0,-2
Real vs Olympiacos,Olympiacos,O. Netzipoglou,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Real vs Olympiacos,Real,T. Lyles,23:33,8,1/3,1/3,3/4,3,1,0,1,4
Real vs Olympiacos,Real,M. Hezonja,23:02,18,5/7,2/3,2/2,3,2,1,1,17
Real vs Olympiacos,Real,F. Campazzo,22:11,9,2/3,1/7,2/2,2,8,1,0,12
Real vs Olympiacos,Real,G. Deck,20:30,13,3/5,1/2,4/4,6,0,0,1,13
Real vs Olympiacos,Real,E. Tavares,19:54,7,2/3,0/0,3/7,4,0,2,0,5
Real vs Olympiacos,Real,A. Feliz,17:49,9,2/6,1/2,2/2,4,1,1,1,7
Real vs Olympiacos,Real,D. Krämer,17:05,3,0/0,1/3,0/0,3,0,1,0,3
Real vs Olympiacos,Real,A. Abalde,12:48,3,0/2,1/1,0/0,0,5,0,1,2
Real vs Olympiacos,Real,C. Okeke,11:37,5,1/1,1/2,0/0,3,0,1,0,9
Real vs Olympiacos,Real,S. Llull,11:25,6,0/1,1/1,3/5,0,0,0,1,1
Real vs Olympiacos,Real,B. Fernando,10:12,6,3/6,0/0,0/0,4,1,0,3,4
Real vs Olympiacos,Real,U. Garuba,9:54,2,1/2,0/0,0/0,1,0,0,1,1
