Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Valencia vs Olympiacos,Olympiacos,E. Fournier,24:03,12,1/2,3/10,1/2,0,5,2,2,7
Valencia vs Olympiacos,Olympiacos,T. Ward,23:38,15,5/8,1/3,2/2,2,0,1,1,8
Valencia vs Olympiacos,Olympiacos,A. Vezenkov,23:35,17,5/7,1/2,4/5,6,0,0,1,17
Valencia vs Olympiacos,Olympiacos,T. Jones,23:33,9,4/5,0/0,1/2,8,0,0,0,13
Valencia vs Olympiacos,Olympiacos,T. Walkup,20:52,6,2/4,0/1,2/3,3,6,0,4,5
Valencia vs Olympiacos,Olympiacos,T. Dorsey,20:06,6,0/2,1/4,3/4,2,1,1,1,1
Valencia vs Olympiacos,Olympiacos,N. Milutinov,16:27,5,0/2,0/0,5/8,3,1,0,1,3
Valencia vs Olympiacos,Olympiacos,A. Peters,16:16,10,2/2,2/3,0/0,3,0,1,1,11
Valencia vs Olympiacos,Olympiacos,K. Papanikolaou,11:39,0,0/0,0/1,0/0,0,1,0,1,-4
Valencia vs Olympiacos,Olympiacos,F. Ntilikina,11:26,4,0/0,0/0,4/4,0,1,1,1,2
Valencia vs Olympiacos,Olympiacos,M. Morris,8:25,0,0/1,0/0,0/0,1,2,0,0,1
Valencia vs Olympiacos,Olympiacos,D. Hall,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Valencia vs Olympiacos,Valencia,B. Badio,24:24,15,3/5,3/9,0/0,5,4,0,1,14
Valencia vs Olympiacos,Valencia,B. Key,23:25,12,4/5,1/2,1/3,3,3,1,1,12
Valencia vs Olympiacos,Valencia,J. Montero,21:51,13,4/6,0/2,5/6,3,6,0,1,13
Valencia vs Olympiacos,Valencia,K. Taylor,20:43,3,0/1,1/4,0/0,2,3,0,2,0
Valencia vs Olympiacos,Valencia,O. Moore,17:46,7,2/3,1/1,0/0,2,3,1,4,5
Valencia vs Olympiacos,Valencia,J. Puerto,17:37,5,1/1,1/3,0/0,5,2,1,2,9
Valencia vs Olympiacos,Valencia,J. Pradilla,15:01,6,1/2,1/3,1/1,5,3,1,3,6
Valencia vs Olympiacos,Valencia,D. Thompson,14:47,6,0/1,2/4,0/0,0,1,0,1,0
Valencia vs Olympiacos,Valencia,M. Costello,13:53,0,0/0,0/1,0/0,5,2,1,0,6
Valencia vs Olympiacos,Valencia,N. Reuvers,13:50,5,1/1,1/3,0/0,1,0,1,0,1
Valencia vs Olympiacos,Valencia,N. Sako,13:46,10,5/6,0/0,0/0,3,0,0,0,10
Valencia vs Olympiacos,Valencia,S. Larrea,2:57,3,0/0,0/0,3/4,0,0,0,1,1
