Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Virtus vs Olympiacos,Olympiacos,T. Dorsey,28:54,23,2/3,4/9,7/8,4,3,0,5,14
Virtus vs Olympiacos,Olympiacos,E. Fournier,28:23,21,0/4,7/10,0/0,1,0,1,1,12
Virtus vs Olympiacos,Olympiacos,N. Milutinov,27:18,13,4/8,0/0,5/6,9,5,1,2,19
Virtus vs Olympiacos,Olympiacos,A. Vezenkov,26:54,16,4/5,2/3,2/3,5,0,0,1,17
Virtus vs Olympiacos,Olympiacos,F. Ntilikina,21:08,2,1/1,0/1,0/0,1,2,0,2,-1
Virtus vs Olympiacos,Olympiacos,A. Peters,16:11,13,3/3,0/2,7/7,6,1,0,1,15
Virtus vs Olympiacos,Olympiacos,K. Papanikolaou,15:14,5,1/1,1/3,0/0,4,2,0,2,6
Virtus vs Olympiacos,Olympiacos,M. Morris,14:11,0,0/1,0/2,0/0,3,2,0,1,1
Virtus vs Olympiacos,Olympiacos,D. Hall,12:39,2,1/1,0/0,0/0,0,2,0,2,2
Virtus vs Olympiacos,Olympiacos,T. Walkup,9:08,2,1/1,0/1,0/0,0,2,0,1,-3
Virtus vs Olympiacos,Olympiacos,K. Antetokounmpo,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Virtus vs Olympiacos,Olympiacos,S. Lee,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Virtus vs Olympiacos,Virtus,M. Diouf,24:32,12,4/8,0/0,4/4,4,1,1,2,9
Virtus vs Olympiacos,Virtus,S. Niang,23:58,7,3/3,0/1,1/2,4,1,2,1,9
Virtus vs Olympiacos,Virtus,M. Morgan,22:47,15,2/4,2/5,5/6,0,5,1,0,14
Virtus vs Olympiacos,Virtus,D. Jr,22:33,8,1/2,2/4,0/0,2,0,0,1,4
Virtus vs Olympiacos,Virtus,A. Pajola,22:03,4,1/3,0/1,2/4,1,4,1,0,0
Virtus vs Olympiacos,Virtus,L. Vildoza,21:38,17,3/3,3/4,2/2,2,4,1,0,18
Virtus vs Olympiacos,Virtus,D. Hackett,19:34,6,0/0,1/1,3/4,3,4,1,1,12
Virtus vs Olympiacos,Virtus,C. Edwards,19:28,14,3/11,2/5,2/3,1,2,2,2,4
Virtus vs Olympiacos,Virtus,A. Smailagic,13:13,9,3/3,1/3,0/0,0,0,3,0,9
Virtus vs Olympiacos,Virtus,N. Akele,7:56,2,1/1,0/0,0/0,1,0,0,0,0
Virtus vs Olympiacos,Virtus,A. Diarra,2:18,0,0/0,0/0,0/0,0,1,0,0,-2
Virtus vs Olympiacos,Virtus,B. Taylor,0:00,0,0/0,0/0,0/0,0,0,0,0,0
