Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Zalgiris vs Olympiacos,Olympiacos,A. Peters,34:15,4,2/6,0/5,0/0,5,0,0,0,-2
Zalgiris vs Olympiacos,Olympiacos,E. Fournier,32:10,32,5/12,5/9,7/8,9,3,1,6,24
Zalgiris vs Olympiacos,Olympiacos,T. Dorsey,31:45,16,6/14,1/5,1/2,4,1,0,0,7
Zalgiris vs Olympiacos,Olympiacos,T. Walkup,26:58,5,1/5,1/4,0/0,6,4,1,2,3
Zalgiris vs Olympiacos,Olympiacos,T. Ward,25:03,9,4/7,0/0,1/1,6,3,0,1,12
Zalgiris vs Olympiacos,Olympiacos,T. Jones,25:01,14,5/6,0/0,4/5,7,6,2,0,23
Zalgiris vs Olympiacos,Olympiacos,D. Hall,24:59,8,3/4,0/0,2/2,7,2,0,0,13
Zalgiris vs Olympiacos,Olympiacos,S. McKissic,19:42,3,0/2,1/4,0/0,1,2,2,0,2
Zalgiris vs Olympiacos,Olympiacos,F. Ntilikina,16:10,3,0/2,1/1,0/0,3,2,1,2,2
Zalgiris vs Olympiacos,Olympiacos,K. Papanikolaou,7:05,0,0/0,0/1,0/0,2,1,0,0,2
Zalgiris vs Olympiacos,Olympiacos,M. Morris,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Zalgiris vs Olympiacos,Zalgiris,S. Francisco,42:33,23,2/3,4/8,7/7,3,7,2,4,28
Zalgiris vs Olympiacos,Zalgiris,M. Wright,38:07,14,4/6,1/2,3/6,13,1,2,4,22
Zalgiris vs Olympiacos,Zalgiris,N. Williams-Goss,33:53,23,5/10,4/7,1/5,3,3,1,1,16
Zalgiris vs Olympiacos,Zalgiris,M. Lô,27:22,15,2/5,3/6,2/2,4,2,2,0,16
Zalgiris vs Olympiacos,Zalgiris,D. Sleva,26:51,1,0/3,0/2,1/2,4,2,1,1,-2
Zalgiris vs Olympiacos,Zalgiris,A. Tubelis,20:24,10,4/8,0/3,2/2,2,0,0,1,-1
Zalgiris vs Olympiacos,Zalgiris,I. Brazdeikis,14:58,7,3/5,0/0,1/3,1,1,0,1,3
Zalgiris vs Olympiacos,Zalgiris,A. Butkevicius,14:07,0,0/0,0/1,0/0,1,0,1,0,0
Zalgiris vs Olympiacos,Zalgiris,D. Giedraitis,12:54,0,0/0,0/0,0/0,2,1,0,1,0
Zalgiris vs Olympiacos,Zalgiris,L. Birutis,11:53,4,2/2,0/0,0/0,3,1,0,0,8
Zalgiris vs Olympiacos,Zalgiris,E. Ulanovas,6:58,2,1/2,0/1,0/0,1,0,0,0,1
Zalgiris vs Olympiacos,Zalgiris,M. Rubstavicius,0:00,0,0/0,0/0,0/0,0,0,0,0,0
