Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Zvezda vs Olympiacos,Olympiacos,A. Vezenkov,33:45,29,6/7,4/8,5/6,8,0,0,3,26
Zvezda vs Olympiacos,Olympiacos,T. Dorsey,29:23,16,2/4,4/8,0/0,4,2,1,3,11
Zvezda vs Olympiacos,Olympiacos,T. Walkup,28:47,2,1/3,0/2,0/0,1,8,4,3,7
Zvezda vs Olympiacos,Olympiacos,N. Milutinov,25:28,7,3/4,0/0,1/1,6,3,0,1,14
Zvezda vs Olympiacos,Olympiacos,K. Papanikolaou,20:48,3,0/0,1/5,0/0,4,2,1,1,2
Zvezda vs Olympiacos,Olympiacos,E. Fournier,16:36,13,1/2,3/9,2/2,2,0,1,1,7
Zvezda vs Olympiacos,Olympiacos,D. Hall,14:32,2,0/1,0/0,2/4,1,2,0,0,2
Zvezda vs Olympiacos,Olympiacos,T. Ward,13:13,2,1/4,0/0,0/0,1,2,0,1,-2
Zvezda vs Olympiacos,Olympiacos,S. Lee,11:13,4,0/1,1/1,1/2,1,1,0,2,1
Zvezda vs Olympiacos,Olympiacos,A. Peters,6:15,2,1/1,0/1,0/0,2,0,0,2,1
Zvezda vs Olympiacos,Olympiacos,K. Antetokounmpo,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Zvezda vs Olympiacos,Olympiacos,O. Netzipoglou,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Zvezda vs Olympiacos,Zvezda,C. Moneke,35:18,11,3/6,0/0,5/8,11,3,3,3,16
Zvezda vs Olympiacos,Zvezda,N. Kalinic,26:21,8,1/2,2/6,0/0,3,0,3,1,5
Zvezda vs Olympiacos,Zvezda,J. Nwora,25:53,23,6/9,3/7,2/2,3,0,2,0,19
Zvezda vs Olympiacos,Zvezda,S. Ojeleye,25:03,15,2/4,3/3,2/2,1,1,0,0,13
Zvezda vs Olympiacos,Zvezda,C. Miller-McIntyre,24:51,10,2/4,2/7,0/0,3,9,1,2,10
Zvezda vs Olympiacos,Zvezda,D. Motiejūnas,16:24,8,1/2,1/2,3/3,3,1,2,1,11
Zvezda vs Olympiacos,Zvezda,D. Graham,15:09,9,0/0,3/5,0/0,4,4,0,1,14
Zvezda vs Olympiacos,Zvezda,J. Butler,14:07,5,1/3,1/3,0/0,4,2,0,1,4
Zvezda vs Olympiacos,Zvezda,O. Dobrić,13:39,2,1/1,0/2,0/0,1,0,1,2,-1
Zvezda vs Olympiacos,Zvezda,U. Plavsic,3:15,0,0/0,0/0,0/0,0,0,0,0,-2
Zvezda vs Olympiacos,Zvezda,Y. Santos,0:00,0,0/0,0/0,0/0,0,0,0,0,0
