Team, Arena_Name, City, Capacity, Country
Anadolu Efes Istanbul,Basketball Development Center,Istanbul,10000,Turkey
AS Monaco,Salle Gaston Medecin,Monaco,5000,France
Baskonia,Buesa Arena,Vitoria-Gasteiz,15500,Spain
Bayern Munich,SAP Garden,Munich,12500,Germany
Crvena Zvezda Belgrade,Belgrade Arena,Belgrade,18300,Spain
Dubai BC,Coca-Cola Arena,Dubai,17000,UAE
EA7 Emporio Armani Milan,Unipol Forum,Milan,12700,Italy
FC Barcelona,Palau Blaugrana,Barcelona,7500,Spain
Fenerbahce Istanbul,Ulker Sports Arena,Istanbul,13000,Turkey
Hapoel Tel Aviv,Menora Mivtachim Arena,Tel Aviv,10300,Israel
LDLC ASVEL Villeurbanne,LDLC Arena,Lyon,12000,France
Maccabi Tel Aviv,Menora Mivtachim Arena,Tel Aviv,10300,Israel
Olympiacos Piraeus,Peace and Friendship Stadium,Piraeus,12000,Greece
Panathinaikos Athens,OAKA Altion,Athens,18500,Greece
Paris Basketball,Adidas Arena,Paris,8000,France
Partizan Belgrade,Belgrade Arena,Belgrade,18300,Serbia
Real Madrid,WiZink Center,Madrid,13100,Spain
Valencia Basket,Roig Arena,Valencia,15600,Spain
Virtus Bologna,Unipol Arena,Bologna,11000,Italy
Zalgiris Kaunas,Zalgirio Arena,Kaunas,15400,Lithuania
